MM,HH,DD,FF,T,TD,RH,N,TC
6,7,10,46,89,51,0,7.0,4
6,7,40,26,94,59,0,3.0,13
6,7,230,57,83,83,8,8.0,10
6,7,260,41,67,55,0,7.0,16
6,7,200,21,81,56,0,1.0,24
6,7,120,36,98,92,4,8.0,3
6,7,180,21,124,124,6,8.0,5
6,7,340,41,116,114,-1,7.0,13
6,7,190,41,135,121,-1,7.0,12
6,7,220,87,127,108,-1,7.0,2
6,7,250,57,129,95,0,2.0,6
6,7,210,87,161,100,0,7.0,17
6,7,230,93,129,99,0,7.0,4
6,7,240,77,121,88,0,2.0,12
6,7,160,26,110,99,4,8.0,10
6,7,240,51,113,94,0,5.0,10
6,7,210,21,79,79,0,9.0,12
6,7,230,21,97,97,4,7.0,16
6,7,220,72,95,90,4,8.0,4
6,7,200,41,116,116,6,8.0,1
6,7,190,41,135,126,0,6.0,3
6,7,240,46,163,140,0,7.0,3
6,7,220,67,159,132,0,7.0,5
6,7,260,67,155,144,-1,7.0,-9
6,7,230,67,171,171,-1,8.0,5
6,7,230,57,149,149,2,8.0,-1
6,7,200,51,132,119,13,8.0,6
6,7,300,46,122,109,0,7.0,9
6,7,300,41,120,79,0,4.0,4
6,7,230,77,148,118,0,4.0,8
6,7,120,41,193,126,0,5.0,15
6,7,990,5,174,150,0,8.0,11
6,7,230,62,142,110,0,7.0,9
6,7,30,46,130,117,9,8.0,-5
6,7,240,26,124,101,0,8.0,9
6,7,220,46,133,131,-1,8.0,0
6,7,210,26,141,121,0,4.0,8
6,7,200,15,135,129,-1,8.0,9
6,7,230,36,117,117,0,8.0,10
6,7,990,10,149,134,0,6.0,12
6,7,40,51,132,79,0,2.0,15
6,7,40,41,121,102,0,6.0,13
6,7,30,31,147,117,0,0.0,27
6,7,220,21,161,150,0,7.0,17
6,7,990,5,201,131,0,1.0,11
6,7,30,57,177,151,0,2.0,16
6,7,40,67,128,81,0,1.0,9
6,7,40,41,115,72,0,7.0,8
6,7,990,15,99,82,0,7.0,5
6,7,30,57,129,127,4,8.0,16
6,7,230,21,130,130,4,8.0,3
6,7,990,5,115,115,0,7.0,17
6,7,30,57,145,124,0,5.0,19
6,7,40,46,133,122,0,7.0,11
6,7,30,31,132,129,-1,8.0,5
6,7,340,26,144,134,0,3.0,23
6,7,990,5,170,146,0,1.0,30
6,7,990,5,193,121,0,1.0,19
6,7,170,31,209,128,0,1.0,27
6,7,170,41,219,143,0,1.0,16
6,7,210,46,145,85,0,7.0,13
6,7,990,5,191,131,0,5.0,16
6,7,240,36,129,126,0,7.0,5
6,7,990,15,138,130,0,8.0,8
6,7,990,15,192,159,0,2.0,13
6,7,40,31,180,151,0,3.0,20
6,7,40,21,185,127,0,0.0,16
6,7,70,21,187,146,0,1.0,23
6,7,80,36,207,141,0,0.0,27
6,7,230,51,230,151,0,6.0,-7
6,7,200,62,180,141,0,7.0,2
6,7,210,82,136,91,0,7.0,2
6,7,200,15,115,113,8,8.0,5
6,7,260,51,125,84,0,6.0,4
6,7,40,57,105,100,2,8.0,11
6,7,220,67,129,103,0,7.0,1
6,7,260,36,129,120,0,7.0,9
6,7,230,67,147,113,-1,7.0,11
6,7,240,57,163,140,0,7.0,6
6,7,230,36,141,116,0,5.0,16
6,7,360,41,146,114,0,2.0,13
6,7,990,15,152,108,0,0.0,17
6,7,350,36,143,105,0,7.0,3
6,7,270,26,123,78,0,4.0,17
6,7,990,5,117,74,0,7.0,25
6,7,110,31,129,99,0,7.0,9
6,7,270,51,171,138,0,5.0,2
6,7,330,26,122,89,0,7.0,9
6,7,70,67,160,103,0,0.0,18
6,7,100,26,202,103,0,0.0,25
6,7,160,26,150,81,0,1.0,31
6,7,200,41,167,165,8,8.0,8
6,7,220,87,145,108,0,5.0,11
6,7,230,108,114,77,0,7.0,5
6,7,290,51,110,86,0,5.0,10
6,7,210,51,108,83,0,7.0,12
6,7,250,67,139,127,0,7.0,5
6,7,150,21,132,122,0,7.0,17
6,7,250,46,104,88,0,3.0,11
6,7,240,36,95,92,18,8.0,13
6,7,330,31,93,78,-1,6.0,9
6,7,70,26,105,103,0,8.0,9
6,7,20,36,120,107,0,7.0,4
6,7,990,15,146,122,0,1.0,8
6,7,40,21,123,79,0,1.0,12
6,7,240,57,139,112,0,7.0,17
