MM,HH,DD,FF,T,TD,RH,N,TC
12,18,60,36,-4,-4,0,9.0,3
12,18,50,26,-6,-6,-1,8.0,-2
12,18,40,26,-16,-16,-1,8.0,1
12,18,990,5,13,13,0,8.0,0
12,18,40,36,4,-5,0,0.0,-6
12,18,320,5,-21,-21,0,0.0,-4
12,18,220,21,10,-5,0,8.0,-1
12,18,10,15,37,11,0,8.0,-3
12,18,60,31,-3,-4,0,0.0,2
12,18,70,46,-32,-114,0,0.0,0
12,18,160,46,18,-23,0,7.0,-1
12,18,200,26,-1,-28,0,0.0,-3
12,18,200,31,-4,-38,0,0.0,-3
12,18,180,26,14,-22,0,0.0,-1
12,18,200,51,26,-33,0,5.0,-2
12,18,160,46,49,49,62,8.0,-2
12,18,210,77,75,75,2,8.0,1
12,18,240,67,47,21,0,6.0,0
12,18,240,113,98,90,10,8.0,-3
12,18,260,67,24,5,-1,7.0,0
12,18,270,93,109,106,8,8.0,1
12,18,250,82,108,106,2,8.0,-3
12,18,260,98,95,78,28,7.0,-1
12,18,260,36,49,31,0,7.0,-4
12,18,200,36,17,16,0,4.0,1
12,18,260,67,77,65,0,8.0,2
12,18,320,26,58,21,0,8.0,-2
12,18,210,26,53,40,0,7.0,-1
12,18,280,21,52,45,-1,8.0,-2
12,18,990,5,49,37,0,8.0,-4
12,18,240,46,26,14,0,8.0,-1
12,18,190,67,66,23,0,5.0,-3
12,18,190,113,122,108,1,7.0,3
12,18,190,72,83,51,-1,7.0,-40
12,18,220,62,34,33,0,8.0,4
12,18,220,57,31,22,0,1.0,-11
12,18,180,46,24,8,0,2.0,4
12,18,200,31,77,66,0,7.0,-1
12,18,10,26,51,51,-1,8.0,-2
12,18,40,41,26,19,0,8.0,0
12,18,80,10,27,14,0,8.0,-1
12,18,210,98,32,32,11,8.0,2
12,18,260,51,49,28,0,6.0,1
12,18,220,87,58,41,0,8.0,0
12,18,230,62,83,59,0,8.0,-3
12,18,170,51,57,34,0,3.0,16
12,18,170,41,80,60,0,7.0,-10
12,18,130,21,35,35,0,0.0,-1
12,18,200,72,82,46,0,8.0,-2
12,18,100,21,63,63,0,8.0,3
12,18,20,41,31,31,1,8.0,-1
12,18,50,31,24,24,0,8.0,2
12,18,260,15,24,12,0,8.0,-1
12,18,30,26,38,38,0,9.0,0
12,18,60,46,24,24,0,8.0,-3
12,18,70,36,-1,-8,0,8.0,-3
12,18,40,51,-18,-26,0,8.0,-3
12,18,50,41,-19,-23,0,1.0,-2
12,18,40,46,-27,-40,0,4.0,-1
12,18,100,41,-15,-82,0,2.0,1
12,18,80,26,-19,-50,0,0.0,-7
12,18,240,10,-29,-64,0,0.0,1
12,18,210,41,3,3,0,4.0,8
12,18,230,72,79,79,0,8.0,3
12,18,220,67,83,66,0,8.0,-1
12,18,240,62,100,100,27,8.0,-24
12,18,230,67,61,54,0,7.0,-2
12,18,200,41,66,54,0,7.0,-1
12,18,260,72,39,38,6,6.0,-8
12,18,230,139,102,93,1,8.0,6
12,18,250,82,77,37,0,7.0,-7
12,18,230,57,70,58,1,7.0,-1
12,18,240,57,3,3,7,7.0,5
12,18,180,46,39,38,6,8.0,-3
12,18,230,93,79,54,-1,6.0,-7
12,18,240,26,11,-13,0,7.0,0
12,18,200,67,39,29,-1,7.0,1
12,18,280,46,51,47,6,7.0,-6
12,18,230,51,55,55,1,8.0,3
12,18,200,82,98,87,0,8.0,5
12,18,250,118,135,122,0,8.0,-12
12,18,110,21,25,25,3,8.0,4
12,18,260,51,18,17,0,7.0,2
12,18,210,103,57,50,1,8.0,6
12,18,210,67,39,36,8,7.0,1
12,18,260,31,30,30,5,8.0,7
12,18,990,10,-11,-11,0,5.0,1
12,18,280,31,17,17,3,8.0,1
12,18,210,31,23,23,2,8.0,4
12,18,190,46,21,11,1,8.0,0
12,18,210,77,63,63,1,8.0,6
12,18,210,139,93,84,2,8.0,1
12,18,290,46,40,40,22,8.0,0
12,18,90,31,38,25,0,4.0,-8
12,18,170,26,42,37,0,5.0,16
12,18,200,67,122,87,1,8.0,-2
12,18,230,67,120,95,0,6.0,-5
12,18,200,57,79,53,0,5.0,4
12,18,210,46,55,35,0,2.0,-2
12,18,250,36,68,61,30,8.0,-1
12,18,200,129,91,74,3,8.0,1
12,18,80,26,47,35,0,7.0,-1
12,18,230,113,99,84,0,8.0,3
12,18,240,98,129,106,0,7.0,-1
12,18,240,93,122,95,0,8.0,-3
12,18,240,77,114,103,1,8.0,-4
12,18,330,21,46,29,0,7.0,-3
12,18,210,21,9,-6,0,6.0,-10
12,18,230,26,44,44,0,8.0,1
12,18,190,62,50,32,0,8.0,3
12,18,200,72,53,41,-1,8.0,4
12,18,210,57,50,30,0,7.0,3
12,18,230,51,38,24,0,7.0,-6
12,18,300,15,34,25,0,7.0,-5
12,18,20,46,8,2,0,0.0,-7
12,18,40,26,-3,-19,0,5.0,-3
12,18,220,15,-49,-53,0,5.0,-11
12,18,230,62,-21,-37,0,3.0,-2
12,18,210,82,19,11,0,8.0,0
12,18,230,113,110,102,8,8.0,3
12,18,220,108,131,111,0,8.0,-1
12,18,210,103,103,82,1,8.0,2
12,18,230,123,64,37,6,6.0,-9
12,18,220,57,35,21,0,4.0,-4
12,18,130,21,4,-4,0,2.0,-2
12,18,70,31,59,54,0,8.0,0
12,18,90,67,34,18,0,8.0,-2
12,18,50,51,3,-30,0,8.0,-3
12,18,60,46,-42,-68,0,3.0,-3
12,18,90,57,-29,-66,0,8.0,1
12,18,170,15,-15,-21,-1,8.0,-2
12,18,60,36,7,-7,0,8.0,4
12,18,360,21,19,18,0,8.0,-7
12,18,80,31,-4,-4,0,9.0,-2
12,18,360,26,11,11,0,8.0,-1
12,18,30,51,13,6,0,7.0,1
12,18,40,36,-15,-32,0,1.0,-2
12,18,40,72,8,-8,0,8.0,3
