MM,HH,DD,FF,T,TD,RH,N,TC
1,3,240,41,49,42,0,8.0,-7
1,3,210,144,56,41,18,8.0,3
1,3,250,72,91,85,6,8.0,-5
1,3,250,51,64,57,2,8.0,0
1,3,220,72,35,14,0,4.0,1
1,3,220,139,46,7,0,3.0,4
1,3,210,62,57,39,0,8.0,2
1,3,210,77,63,35,0,8.0,2
1,3,210,118,77,55,2,8.0,-9
1,3,210,139,107,88,2,8.0,10
1,3,220,77,80,68,-1,8.0,3
1,3,220,57,40,27,0,6.0,-6
1,3,40,26,27,18,0,8.0,-4
1,3,30,51,-4,-5,0,8.0,-2
1,3,60,62,-21,-86,0,0.0,-1
1,3,90,51,-13,-101,0,0.0,-8
1,3,130,31,-42,-78,0,0.0,7
1,3,990,10,-15,-28,0,0.0,13
1,3,190,36,3,-27,0,5.0,11
1,3,200,36,10,10,0,9.0,-4
1,3,220,67,33,32,4,8.0,0
1,3,40,41,23,23,-1,8.0,2
1,3,40,31,-15,-16,0,0.0,-12
1,3,20,26,-11,-15,0,8.0,0
1,3,60,26,-27,-32,0,0.0,1
1,3,60,31,-25,-28,0,0.0,-2
1,3,50,15,-2,-6,0,8.0,1
1,3,80,41,15,-14,0,8.0,-1
1,3,120,15,-39,-51,0,0.0,1
1,3,140,21,-46,-54,0,0.0,-2
1,3,100,31,-37,-55,0,0.0,-3
1,3,220,62,19,13,0,8.0,0
1,3,230,98,31,22,0,8.0,0
1,3,220,62,7,-7,0,7.0,-2
1,3,220,103,61,34,0,8.0,6
1,3,220,46,56,53,-1,8.0,-2
1,3,240,87,93,82,4,8.0,-1
1,3,210,57,26,11,0,0.0,-8
1,3,200,67,57,16,0,8.0,6
1,3,210,98,103,81,-1,7.0,2
1,3,40,41,48,48,-1,8.0,-3
1,3,50,26,-15,-18,0,0.0,-5
1,3,200,15,12,12,0,8.0,2
1,3,30,15,17,17,-1,8.0,0
1,3,220,36,25,9,0,8.0,0
1,3,300,26,45,42,-1,8.0,-1
1,3,990,15,51,21,0,8.0,-3
1,3,260,31,47,46,0,8.0,1
1,3,990,15,33,0,0,8.0,-8
1,3,220,57,31,22,0,8.0,-1
1,3,360,62,46,46,2,8.0,3
1,3,70,46,-44,-78,0,0.0,0
1,3,40,46,-59,-101,0,0.0,-2
1,3,80,31,-59,-76,0,1.0,3
1,3,220,21,-49,-54,0,0.0,-12
1,3,990,5,-41,-42,0,0.0,-19
1,3,200,21,-19,-20,0,8.0,7
1,3,30,21,0,0,0,7.0,-1
1,3,40,26,-37,-37,0,0.0,-3
1,3,60,46,-28,-31,0,0.0,2
1,3,60,26,-16,-16,0,9.0,0
1,3,60,36,-10,-10,0,9.0,-4
1,3,200,15,-65,-72,0,0.0,-3
1,3,70,15,-69,-88,0,0.0,4
1,3,90,51,-84,-109,0,0.0,2
1,3,990,15,-84,-117,0,0.0,8
1,3,180,36,-43,-89,0,5.0,23
1,3,210,67,61,61,2,8.0,5
1,3,260,51,90,90,10,8.0,-21
1,3,230,93,92,87,-1,8.0,-2
1,3,170,41,2,-6,0,6.0,19
1,3,210,77,98,95,1,8.0,0
1,3,220,98,96,93,4,8.0,-1
1,3,220,46,69,68,18,8.0,-3
1,3,200,62,38,22,0,2.0,-1
1,3,230,93,83,59,0,6.0,-5
1,3,180,67,57,40,0,3.0,0
1,3,230,87,110,89,0,7.0,-5
1,3,200,72,87,47,0,0.0,-7
1,3,230,41,71,67,0,8.0,-2
1,3,200,31,26,16,0,8.0,16
