MM,HH,DD,FF,T,TD,RH,N,TC
4,5,220,51,84,59,0,7.0,1
4,5,220,93,81,30,0,7.0,-3
4,5,200,57,89,49,0,7.0,2
4,5,150,41,36,21,0,1.0,0
4,5,190,41,66,59,-1,7.0,-1
4,5,200,41,52,43,0,7.0,5
4,5,220,87,73,54,0,6.0,1
4,5,240,51,65,61,0,3.0,2
4,5,250,31,84,83,0,7.0,1
4,5,170,26,45,25,0,2.0,5
4,5,120,15,75,37,0,3.0,8
4,5,110,31,72,9,0,1.0,7
4,5,100,36,91,39,0,0.0,5
4,5,360,36,74,63,0,4.0,-3
4,5,50,26,65,26,0,0.0,10
4,5,10,41,54,41,0,8.0,4
4,5,290,41,21,17,-1,7.0,4
4,5,310,31,7,0,0,6.0,6
4,5,300,31,23,23,-1,8.0,-3
4,5,360,21,-18,-19,0,1.0,8
4,5,190,21,-33,-38,0,1.0,12
4,5,230,82,39,35,16,8.0,1
4,5,280,31,28,28,0,7.0,4
4,5,220,26,3,3,0,2.0,6
4,5,110,41,14,8,0,0.0,8
4,5,50,26,15,8,0,1.0,16
4,5,990,5,20,-1,0,0.0,25
4,5,10,21,27,27,0,8.0,0
4,5,210,21,6,5,0,1.0,18
4,5,100,46,56,56,8,8.0,-1
4,5,190,21,44,44,0,8.0,-13
4,5,180,36,32,16,0,1.0,1
4,5,240,41,53,49,-1,8.0,0
4,5,350,31,33,29,0,7.0,2
4,5,210,15,0,-1,0,5.0,6
4,5,210,36,35,23,0,6.0,8
4,5,160,26,55,11,0,6.0,6
4,5,100,31,48,11,0,1.0,0
4,5,70,26,37,-7,0,0.0,-1
4,5,90,36,46,21,0,2.0,4
4,5,160,5,41,21,0,3.0,11
4,5,200,41,75,45,0,7.0,-5
4,5,240,57,42,29,0,1.0,0
4,5,240,82,65,48,0,7.0,0
4,5,220,87,62,30,4,7.0,-2
4,5,290,67,26,17,-1,8.0,-2
4,5,240,36,25,12,0,7.0,4
4,5,220,36,76,76,-1,9.0,10
4,5,260,46,107,101,-1,7.0,0
4,5,990,5,17,8,0,0.0,0
4,5,120,10,27,-2,0,4.0,15
4,5,210,26,80,61,0,6.0,14
4,5,250,31,83,72,-1,8.0,1
4,5,180,31,80,69,0,3.0,12
4,5,210,31,101,85,0,1.0,23
4,5,200,46,111,95,0,7.0,9
4,5,230,62,81,70,0,5.0,6
4,5,150,31,85,82,4,8.0,4
4,5,260,36,61,58,0,3.0,9
4,5,190,36,40,40,0,1.0,8
4,5,220,21,115,28,0,6.0,1
4,5,230,62,56,17,0,7.0,1
4,5,210,21,20,4,0,3.0,-1
4,5,170,36,48,8,0,8.0,10
4,5,180,41,20,-11,0,5.0,19
4,5,220,87,63,31,0,7.0,2
4,5,300,57,66,39,0,7.0,-2
4,5,30,21,49,32,0,7.0,0
4,5,100,51,28,-14,0,1.0,3
4,5,220,41,55,38,0,5.0,7
4,5,200,36,77,50,0,7.0,8
4,5,200,15,54,45,0,5.0,-2
4,5,990,10,49,42,0,7.0,-2
4,5,210,31,69,54,0,7.0,0
4,5,200,26,50,46,0,7.0,3
4,5,270,31,58,57,0,9.0,-2
4,5,220,62,87,54,-1,7.0,1
4,5,240,67,105,94,0,8.0,1
4,5,230,67,86,78,4,8.0,2
4,5,170,31,55,42,0,3.0,33
4,5,180,46,125,65,0,1.0,13
4,5,180,31,114,67,0,5.0,13
4,5,180,41,91,72,0,3.0,14
4,5,170,31,145,80,0,7.0,6
4,5,240,46,122,85,0,6.0,3
4,5,90,21,107,85,0,6.0,6
4,5,40,41,102,69,0,1.0,15
4,5,990,15,113,76,0,2.0,23
4,5,70,46,142,56,0,1.0,3
4,5,990,10,132,63,0,3.0,19
4,5,200,103,127,96,1,7.0,-32
4,5,230,87,43,23,0,6.0,-2
4,5,240,46,25,16,0,7.0,-3
4,5,200,108,38,26,7,8.0,3
4,5,220,67,22,9,0,7.0,7
