MM,HH,DD,FF,T,TD,RH,N,TC
11,22,200,77,133,90,-1,8.0,-5
11,22,200,72,120,92,0,5.0,0
11,22,210,82,90,78,0,6.0,-21
11,22,220,108,58,40,-1,7.0,1
11,22,270,31,42,42,0,7.0,-6
11,22,220,113,63,53,-1,8.0,4
11,22,240,108,107,107,12,8.0,-2
11,22,240,57,75,75,-1,8.0,-4
11,22,250,41,40,40,-1,8.0,0
11,22,200,82,50,40,0,8.0,3
11,22,220,31,53,53,-1,7.0,2
11,22,200,123,105,88,-1,8.0,0
11,22,210,72,62,45,0,2.0,-5
11,22,240,51,51,45,0,7.0,-2
11,22,220,21,30,29,0,1.0,-16
11,22,20,21,-1,-1,0,9.0,2
11,22,170,41,33,24,0,3.0,0
11,22,190,36,73,66,0,7.0,-11
11,22,990,15,26,26,0,5.0,0
11,22,30,62,30,30,0,8.0,3
11,22,990,10,-4,-4,0,8.0,0
11,22,210,41,36,15,0,8.0,0
11,22,210,21,14,10,0,4.0,-15
11,22,90,31,5,-1,0,0.0,-6
11,22,170,10,-12,-13,0,4.0,-5
11,22,200,15,45,24,0,3.0,-7
11,22,200,41,56,50,0,0.0,-5
11,22,190,31,55,45,0,0.0,-16
11,22,90,57,17,17,0,0.0,9
11,22,140,15,-2,-2,0,0.0,-18
11,22,200,46,31,12,0,6.0,-3
11,22,240,87,89,63,0,3.0,-6
11,22,200,51,54,44,0,3.0,-2
11,22,220,62,74,63,0,7.0,-1
11,22,220,36,104,104,0,6.0,0
11,22,210,46,69,65,0,3.0,-8
11,22,240,46,96,95,5,8.0,-1
11,22,110,26,66,52,0,4.0,-15
11,22,200,82,99,70,0,8.0,4
11,22,230,77,77,57,0,7.0,-5
11,22,240,72,66,38,0,7.0,-6
11,22,220,62,36,15,0,3.0,0
11,22,230,41,27,23,0,2.0,-4
11,22,110,36,38,1,0,8.0,1
11,22,220,62,85,77,0,7.0,-2
11,22,190,51,68,53,-1,8.0,1
11,22,230,67,32,16,0,7.0,0
11,22,210,87,63,56,1,8.0,14
11,22,200,46,53,36,0,7.0,1
11,22,200,51,21,15,0,1.0,5
11,22,220,67,92,92,4,8.0,25
11,22,250,87,128,122,0,8.0,-2
11,22,190,72,87,60,0,0.0,-7
11,22,190,57,110,67,0,8.0,2
11,22,180,87,101,85,7,8.0,5
11,22,240,72,65,47,0,1.0,-2
11,22,190,93,70,50,23,8.0,7
11,22,190,15,32,23,0,5.0,-1
11,22,200,57,111,108,-1,8.0,2
11,22,200,72,114,63,0,5.0,-4
11,22,70,26,2,2,0,0.0,-2
11,22,90,26,63,62,4,7.0,3
11,22,990,10,118,107,0,7.0,-31
11,22,50,31,63,63,0,0.0,3
11,22,80,72,29,29,0,8.0,2
11,22,50,36,47,47,-1,8.0,-1
11,22,330,15,50,50,1,8.0,1
11,22,300,21,56,56,0,8.0,-1
11,22,200,41,58,44,0,6.0,-1
11,22,200,77,78,71,0,8.0,-2
11,22,210,41,46,45,0,0.0,3
11,22,200,46,52,45,-1,5.0,1
11,22,160,62,62,42,-1,8.0,9
11,22,300,72,64,63,17,8.0,1
11,22,40,31,32,14,0,5.0,0
11,22,60,26,-10,-21,0,2.0,-2
11,22,80,46,-3,-20,0,0.0,-13
11,22,80,36,-20,-34,0,0.0,-12
11,22,60,26,-36,-47,0,0.0,0
11,22,80,41,-24,-31,0,2.0,-9
11,22,70,21,-47,-50,-1,7.0,1
11,22,160,15,-50,-55,-1,2.0,-4
11,22,180,26,-47,-61,0,0.0,0
11,22,170,10,-35,-36,0,6.0,4
11,22,10,10,-2,-2,0,3.0,-19
11,22,20,36,-15,-15,0,6.0,-1
11,22,60,36,-32,-39,0,8.0,0
11,22,70,31,-52,-53,0,0.0,5
11,22,100,57,-48,-60,0,0.0,-1
11,22,350,15,-12,-26,0,8.0,-1
11,22,190,36,78,60,0,7.0,-16
11,22,90,36,76,55,0,7.0,-8
11,22,120,21,114,65,0,4.0,-4
11,22,100,41,111,76,0,2.0,-18
11,22,200,46,134,104,0,5.0,0
11,22,330,21,116,98,-1,8.0,-2
11,22,40,21,109,106,-1,8.0,-1
11,22,180,36,78,67,0,2.0,-6
11,22,140,26,97,91,3,8.0,-3
11,22,80,10,83,80,0,4.0,-8
11,22,220,51,105,100,1,8.0,-4
11,22,180,15,92,86,8,8.0,-1
11,22,220,82,117,93,0,8.0,-2
11,22,230,103,136,125,6,7.0,3
11,22,240,77,107,85,0,7.0,-4
11,22,220,41,64,50,0,5.0,5
11,22,230,82,83,53,0,8.0,1
11,22,200,21,80,79,0,8.0,4
11,22,230,67,133,131,-1,8.0,2
11,22,240,62,131,113,-1,8.0,-6
11,22,100,5,90,90,0,8.0,3
11,22,190,15,101,87,0,3.0,-6
11,22,200,36,82,79,0,1.0,-1
11,22,250,10,74,71,0,3.0,-6
11,22,200,21,58,58,0,5.0,12
11,22,300,26,109,109,7,8.0,0
11,22,70,21,85,68,0,8.0,-1
11,22,70,21,64,62,0,2.0,4
11,22,80,26,34,29,0,1.0,-13
11,22,150,15,12,9,0,0.0,-1
11,22,310,26,53,53,0,1.0,-4
11,22,270,36,84,73,0,7.0,-4
11,22,340,41,37,12,0,6.0,-3
11,22,990,10,-6,-35,0,0.0,-4
11,22,150,31,-21,-42,0,0.0,-3
11,22,210,41,-13,-38,0,6.0,4
11,22,210,31,66,66,-1,8.0,2
11,22,210,31,92,92,0,8.0,3
