MM,HH,DD,FF,T,TD,RH,N,TC
1,21,200,93,54,33,0,8.0,5
1,21,220,129,124,105,0,7.0,0
1,21,220,82,89,81,4,8.0,-1
1,21,230,77,48,31,-1,7.0,1
1,21,240,93,39,27,12,7.0,4
1,21,190,77,46,16,0,4.0,-2
1,21,200,72,46,23,0,0.0,2
1,21,210,149,96,46,0,6.0,1
1,21,210,113,96,42,0,7.0,1
1,21,200,62,74,45,0,8.0,-3
1,21,240,72,55,22,0,7.0,-10
1,21,290,26,41,34,-1,8.0,-2
1,21,40,36,11,1,0,4.0,-6
1,21,50,67,-8,-61,0,0.0,-4
1,21,70,46,0,-102,0,0.0,-7
1,21,130,26,-38,-86,0,0.0,4
1,21,150,36,-2,-18,0,0.0,14
1,21,160,46,-4,-24,0,0.0,4
1,21,190,15,16,16,0,9.0,-2
1,21,210,57,34,13,0,8.0,-4
1,21,290,31,30,17,0,7.0,-3
1,21,70,26,15,5,0,3.0,-6
1,21,40,31,-4,-4,0,8.0,-2
1,21,50,36,-6,-20,0,5.0,-9
1,21,70,41,-8,-16,0,0.0,-7
1,21,990,15,-4,-5,0,8.0,0
1,21,70,36,21,-2,0,8.0,-2
1,21,100,10,-16,-35,0,0.0,-6
1,21,110,36,-12,-28,0,0.0,-5
1,21,130,21,-33,-50,0,0.0,-1
1,21,210,36,-39,-56,0,1.0,5
1,21,230,98,39,32,0,8.0,1
1,21,210,98,23,14,0,8.0,-1
1,21,220,98,51,18,0,6.0,-2
1,21,230,36,49,49,2,8.0,1
1,21,240,98,96,91,2,8.0,3
1,21,200,46,44,29,0,0.0,0
1,21,190,72,37,8,0,6.0,6
1,21,190,72,96,58,2,8.0,-6
1,21,210,5,63,62,8,8.0,-1
1,21,50,36,10,1,0,0.0,-5
1,21,340,21,0,0,0,8.0,0
1,21,250,26,16,16,2,9.0,1
1,21,990,5,26,7,0,7.0,2
1,21,290,21,40,34,0,8.0,0
1,21,20,21,54,29,0,7.0,3
1,21,250,46,27,21,-1,8.0,4
1,21,990,10,42,4,0,8.0,0
1,21,240,36,37,31,0,8.0,-4
1,21,290,41,58,57,4,8.0,0
1,21,60,62,-23,-42,0,1.0,-2
1,21,50,62,-38,-98,0,0.0,-5
1,21,40,15,-51,-74,0,0.0,0
1,21,220,26,-38,-46,0,0.0,5
1,21,60,5,-29,-32,0,0.0,-8
1,21,210,21,-60,-60,0,9.0,13
1,21,10,21,12,12,0,6.0,-3
1,21,50,36,-13,-13,0,8.0,-9
1,21,50,36,-16,-16,0,9.0,-1
1,21,50,41,3,-5,0,0.0,-7
1,21,50,41,-1,-1,-1,9.0,-2
1,21,70,26,-17,-17,0,9.0,-1
1,21,100,51,-37,-66,0,0.0,-16
1,21,80,31,-58,-115,0,0.0,-6
1,21,80,41,-76,-104,0,0.0,5
1,21,210,51,-33,-82,0,8.0,2
1,21,200,87,45,38,0,8.0,3
1,21,220,72,82,82,9,8.0,7
1,21,210,72,84,84,-1,8.0,-3
1,21,200,31,-6,-9,0,2.0,10
1,21,220,103,99,93,-1,8.0,-3
1,21,210,129,103,89,3,8.0,-2
1,21,230,87,83,74,2,8.0,-1
1,21,210,87,45,15,0,0.0,3
1,21,220,180,127,108,11,8.0,-20
1,21,190,51,50,30,0,0.0,0
1,21,230,98,111,90,0,2.0,-1
1,21,190,46,98,84,0,0.0,-12
1,21,220,67,85,81,0,8.0,-1
1,21,200,62,40,34,0,0.0,-3
1,21,220,82,75,60,0,8.0,7
1,21,230,103,105,81,0,8.0,0
1,21,220,134,119,98,0,8.0,-5
1,21,270,72,81,61,0,7.0,-3
1,21,230,129,111,92,0,8.0,4
1,21,250,113,78,49,0,8.0,0
1,21,290,41,9,-17,0,5.0,-7
1,21,230,93,17,17,16,8.0,-3
1,21,190,15,25,18,0,8.0,-2
1,21,220,72,77,73,-1,8.0,0
1,21,50,41,35,35,0,8.0,3
1,21,110,15,-14,-14,0,0.0,1
1,21,80,26,-26,-39,0,0.0,2
1,21,200,36,23,20,0,7.0,-3
1,21,230,67,61,54,0,7.0,-3
1,21,240,62,80,59,0,6.0,-8
1,21,220,98,60,50,6,7.0,-7
1,21,210,67,65,49,0,7.0,-4
1,21,240,57,61,53,6,8.0,-4
1,21,220,41,34,27,0,6.0,-11
1,21,160,41,9,1,0,2.0,-11
1,21,150,62,33,22,0,4.0,-3
1,21,110,26,30,11,0,7.0,4
1,21,200,67,42,22,0,2.0,7
1,21,220,123,125,102,0,8.0,0
1,21,220,98,90,54,-1,7.0,-23
1,21,230,72,51,27,0,1.0,-3
1,21,990,15,14,-5,0,4.0,-4
1,21,20,67,12,-6,0,7.0,-11
1,21,200,36,-22,-23,0,4.0,3
1,21,220,87,3,-20,0,8.0,0
1,21,210,41,2,2,6,8.0,0
1,21,210,51,11,3,0,8.0,1
1,21,220,62,39,28,0,8.0,-1
1,21,220,67,66,66,2,8.0,5
