MM,HH,DD,FF,T,TD,RH,N,TC
4,9,230,93,107,55,0,7.0,8
4,9,230,103,109,46,0,5.0,20
4,9,230,77,85,73,-1,8.0,4
4,9,200,82,96,46,0,1.0,9
4,9,210,72,81,39,0,5.0,9
4,9,230,57,89,63,0,5.0,10
4,9,230,98,99,61,0,6.0,-3
4,9,240,72,91,71,0,7.0,13
4,9,990,15,111,80,0,6.0,9
4,9,160,36,138,76,0,4.0,16
4,9,170,41,168,85,0,7.0,10
4,9,100,31,157,41,0,3.0,25
4,9,40,31,158,57,0,0.0,15
4,9,990,15,100,76,0,0.0,22
4,9,30,31,139,50,0,0.0,19
4,9,360,51,74,23,0,5.0,9
4,9,330,31,51,31,-1,7.0,10
4,9,330,36,44,4,0,7.0,1
4,9,350,41,37,28,-1,8.0,0
4,9,10,46,41,-27,0,3.0,1
4,9,210,31,50,-12,0,1.0,13
4,9,220,82,54,50,-1,7.0,2
4,9,290,46,59,31,0,5.0,14
4,9,240,21,68,41,0,2.0,9
4,9,90,62,83,41,0,1.0,19
4,9,60,46,87,39,0,1.0,13
4,9,990,15,119,39,0,0.0,1
4,9,60,26,77,50,0,5.0,6
4,9,240,41,76,56,0,7.0,0
4,9,90,67,67,67,4,8.0,4
4,9,260,36,63,43,0,7.0,12
4,9,190,57,68,39,-1,7.0,2
4,9,260,36,61,47,0,8.0,2
4,9,360,31,50,24,0,7.0,14
4,9,320,21,51,19,0,3.0,19
4,9,220,62,75,14,0,7.0,23
4,9,170,41,99,27,0,7.0,12
4,9,80,46,103,27,0,7.0,11
4,9,70,26,106,22,0,0.0,18
4,9,70,26,112,40,0,2.0,13
4,9,990,10,127,54,0,6.0,17
4,9,240,57,110,45,0,1.0,14
4,9,240,93,75,34,0,7.0,14
4,9,240,98,80,42,0,6.0,8
4,9,210,108,80,38,-1,7.0,-1
4,9,320,62,30,26,3,8.0,2
4,9,240,62,60,30,-1,7.0,3
4,9,270,36,104,104,1,8.0,2
4,9,310,41,104,85,0,8.0,-1
4,9,990,10,68,32,0,4.0,18
4,9,990,15,103,33,0,7.0,17
4,9,240,46,116,88,0,7.0,6
4,9,230,62,85,73,2,8.0,15
4,9,210,72,130,102,0,8.0,18
4,9,220,62,143,107,0,8.0,7
4,9,220,113,156,97,0,7.0,10
4,9,240,82,106,71,0,7.0,6
4,9,240,72,88,73,2,8.0,8
4,9,260,41,84,72,0,7.0,12
4,9,240,51,80,65,0,2.0,18
4,9,210,31,147,60,0,7.0,6
4,9,240,57,62,25,0,7.0,7
4,9,990,10,82,29,0,1.0,10
4,9,230,51,77,28,-1,8.0,-2
4,9,180,93,92,23,0,3.0,7
4,9,230,118,84,42,0,7.0,0
4,9,300,41,70,31,0,8.0,7
4,9,990,15,76,19,0,6.0,5
4,9,80,51,96,20,0,5.0,20
4,9,260,41,89,49,0,6.0,16
4,9,170,26,85,71,5,8.0,16
4,9,990,15,100,60,0,7.0,19
4,9,990,5,101,64,-1,7.0,17
4,9,210,26,105,66,0,6.0,15
4,9,990,15,77,71,-1,7.0,9
4,9,260,31,61,60,0,7.0,6
4,9,230,82,109,70,0,7.0,0
4,9,240,77,112,82,0,7.0,6
