MM,HH,DD,FF,T,TD,RH,N,TC
12,15,50,26,-5,-5,0,9.0,3
12,15,70,36,-1,-1,0,8.0,-1
12,15,990,15,-16,-16,0,8.0,-1
12,15,90,5,10,9,0,8.0,0
12,15,30,57,35,19,0,2.0,-17
12,15,100,15,-2,-6,0,0.0,-11
12,15,210,21,8,-2,0,8.0,-1
12,15,330,21,35,17,0,8.0,-2
12,15,50,41,19,4,0,0.0,-11
12,15,80,67,-23,-115,0,0.0,-6
12,15,100,21,13,-37,0,7.0,-8
12,15,200,26,24,-17,0,0.0,-2
12,15,210,21,24,-21,0,2.0,-11
12,15,190,21,49,-20,0,0.0,-18
12,15,210,41,33,-31,0,6.0,-2
12,15,200,31,53,47,-1,8.0,2
12,15,210,51,77,77,0,8.0,1
12,15,260,77,55,25,-1,7.0,0
12,15,230,118,95,87,10,8.0,-1
12,15,270,62,11,10,12,7.0,8
12,15,240,98,86,85,30,8.0,8
12,15,250,87,120,118,8,8.0,-5
12,15,220,139,108,71,-1,8.0,-10
12,15,280,46,58,28,0,7.0,-4
12,15,230,31,46,33,0,6.0,-12
12,15,240,57,66,62,-1,8.0,7
12,15,340,51,64,11,0,8.0,-2
12,15,220,31,59,39,0,7.0,-2
12,15,270,21,56,42,-1,8.0,-2
12,15,990,5,48,47,-1,8.0,0
12,15,260,36,31,10,0,8.0,0
12,15,210,82,88,28,0,6.0,-9
12,15,200,123,110,93,8,8.0,4
12,15,200,87,77,37,0,2.0,4
12,15,300,31,9,9,4,8.0,11
12,15,230,57,50,30,0,5.0,-8
12,15,200,51,48,25,0,3.0,-7
12,15,230,67,79,68,-1,8.0,2
12,15,990,15,62,61,0,8.0,-2
12,15,40,41,28,21,0,8.0,1
12,15,40,31,29,14,0,8.0,-1
12,15,210,72,34,14,-1,8.0,-3
12,15,280,57,66,30,-1,6.0,-9
12,15,230,67,59,34,0,6.0,-1
12,15,240,77,89,69,0,8.0,-2
12,15,190,36,74,40,0,0.0,-10
12,15,180,36,88,62,-1,7.0,-8
12,15,90,36,73,62,0,0.0,-13
12,15,180,72,84,42,0,7.0,-9
12,15,990,5,81,77,0,8.0,-6
12,15,20,46,35,35,3,8.0,-3
12,15,50,21,27,27,0,8.0,1
12,15,290,21,26,20,0,8.0,-1
12,15,50,26,34,34,0,9.0,1
12,15,80,57,30,30,0,8.0,-1
12,15,70,31,3,-5,0,8.0,-1
12,15,30,51,-14,-20,0,8.0,-1
12,15,70,51,-6,-20,0,2.0,-7
12,15,80,51,-3,-42,0,4.0,-9
