MM,HH,DD,FF,T,TD,RH,N,TC
4,19,240,93,127,88,0,8.0,-14
4,19,200,46,121,64,0,3.0,-6
4,19,200,41,68,53,0,1.0,-7
4,19,200,77,88,34,-1,8.0,-10
4,19,220,46,67,31,0,5.0,-10
4,19,180,41,102,37,0,8.0,-1
4,19,230,82,104,41,0,5.0,-4
4,19,230,51,116,63,0,6.0,-3
4,19,170,10,125,42,0,3.0,-17
4,19,120,41,124,58,0,1.0,-5
4,19,130,41,137,26,0,5.0,-14
4,19,100,51,162,39,0,0.0,-28
4,19,40,26,150,25,0,0.0,3
4,19,40,36,142,25,0,0.0,-10
4,19,30,36,147,29,0,2.0,1
4,19,350,72,42,-12,0,6.0,-4
4,19,350,46,48,20,0,7.0,0
4,19,240,26,35,34,-1,7.0,1
4,19,30,41,35,-54,0,3.0,0
4,19,70,26,23,-20,0,3.0,-10
4,19,210,31,45,-19,0,4.0,-17
4,19,320,51,46,25,-1,5.0,-7
4,19,330,31,51,39,0,7.0,-4
4,19,60,21,50,25,0,0.0,-1
4,19,70,41,69,22,0,3.0,-8
4,19,50,31,94,6,0,0.0,-9
4,19,20,62,104,30,0,0.0,-20
4,19,340,31,87,7,0,2.0,-14
4,19,260,5,95,19,0,7.0,-2
4,19,50,77,69,68,-1,8.0,-1
4,19,230,21,84,4,0,3.0,-14
4,19,180,21,64,36,0,7.0,-1
4,19,320,21,72,40,-1,7.0,-6
4,19,340,26,67,16,0,7.0,-12
4,19,300,21,70,13,0,7.0,-3
4,19,240,26,89,20,0,7.0,-17
4,19,100,41,103,31,0,1.0,-14
4,19,50,51,110,13,0,1.0,-6
4,19,50,31,108,34,0,0.0,-9
4,19,50,21,119,32,0,5.0,-15
4,19,270,21,143,40,0,2.0,-19
4,19,240,51,117,84,0,7.0,-7
4,19,240,57,79,55,0,6.0,-6
4,19,180,41,124,11,0,7.0,4
4,19,300,62,45,8,-1,8.0,-4
4,19,330,51,47,-7,-1,6.0,-11
4,19,220,57,62,61,7,8.0,1
4,19,230,41,119,114,3,8.0,2
4,19,320,36,83,8,0,1.0,-13
4,19,100,26,85,25,0,2.0,-9
4,19,290,21,145,36,0,0.0,-16
4,19,250,21,118,71,0,7.0,-6
4,19,210,36,100,76,0,6.0,1
4,19,180,15,134,98,0,7.0,-15
4,19,160,21,116,114,0,7.0,8
4,19,990,15,128,122,-1,8.0,-2
4,19,230,57,107,61,0,5.0,-12
4,19,220,82,88,62,-1,8.0,-6
4,19,240,36,83,68,5,7.0,-4
4,19,210,62,105,42,0,7.0,-6
4,19,170,36,89,49,0,3.0,-6
4,19,10,21,66,9,0,1.0,-6
4,19,100,31,78,-4,0,1.0,-12
4,19,240,21,56,12,0,1.0,-22
4,19,200,82,72,57,4,8.0,6
4,19,240,72,84,50,0,6.0,-4
4,19,320,21,72,42,0,7.0,-3
4,19,70,36,68,9,0,5.0,-9
4,19,130,36,116,29,0,8.0,-7
4,19,40,26,92,11,0,3.0,-3
4,19,990,15,85,66,30,7.0,-4
4,19,990,15,86,40,0,6.0,-2
4,19,200,21,85,71,0,7.0,-10
4,19,70,15,80,63,0,6.0,-7
4,19,300,21,87,65,0,4.0,2
4,19,170,21,93,55,0,2.0,-9
4,19,220,46,102,97,7,8.0,1
4,19,250,87,106,84,3,8.0,1
4,19,230,26,115,82,0,8.0,-14
4,19,150,26,165,87,0,6.0,-2
4,19,340,36,171,105,0,4.0,-15
4,19,230,62,115,98,18,8.0,-5
4,19,140,51,168,80,0,4.0,-20
4,19,70,21,185,73,0,6.0,-13
4,19,340,15,167,87,0,2.0,-20
4,19,80,21,175,19,0,3.0,-27
4,19,40,51,201,105,0,0.0,-13
4,19,60,26,200,64,0,2.0,-4
4,19,90,41,207,73,0,2.0,-4
4,19,90,26,204,48,0,1.0,-24
4,19,220,98,64,44,-1,7.0,4
4,19,230,41,29,13,1,7.0,4
4,19,200,46,59,11,0,8.0,0
4,19,250,77,34,8,0,4.0,-5
4,19,250,57,42,29,0,6.0,-11
4,19,990,10,49,39,0,2.0,-14
4,19,170,15,73,5,0,8.0,3
4,19,190,57,71,24,0,6.0,-3
4,19,240,31,23,9,0,6.0,-14
4,19,30,46,62,3,0,2.0,-10
4,19,20,31,87,65,-1,8.0,0
4,19,340,21,80,67,0,8.0,2
4,19,330,87,67,26,0,8.0,-4
4,19,270,21,59,-2,0,1.0,-12
4,19,360,36,87,29,0,5.0,-7
4,19,40,72,103,44,0,7.0,-10
4,19,10,93,61,-1,0,6.0,-6
4,19,10,36,79,-16,0,1.0,-12
4,19,40,21,86,12,0,0.0,-21
4,19,290,15,110,20,0,8.0,-1
4,19,340,21,126,41,0,7.0,-19
