MM,HH,DD,FF,T,TD,RH,N,TC
3,9,60,31,18,18,0,8.0,7
3,9,210,26,52,48,0,8.0,1
3,9,210,57,63,51,0,3.0,21
3,9,90,51,63,26,0,5.0,15
3,9,180,51,105,79,-1,8.0,8
3,9,150,31,107,90,-1,8.0,9
3,9,110,31,126,75,0,8.0,-6
3,9,230,36,131,69,-1,7.0,2
3,9,250,46,100,86,-1,7.0,0
3,9,200,51,104,75,0,3.0,21
3,9,200,51,102,93,0,7.0,14
3,9,200,31,98,77,0,7.0,12
3,9,990,10,115,70,0,0.0,14
3,9,200,36,127,70,0,0.0,21
3,9,250,46,104,102,0,8.0,0
3,9,160,36,126,91,0,5.0,3
3,9,240,41,105,81,0,7.0,3
3,9,240,57,100,79,0,7.0,8
3,9,200,93,89,89,14,8.0,5
3,9,240,93,116,92,0,6.0,7
3,9,260,31,105,105,22,8.0,2
3,9,240,36,71,62,0,8.0,3
3,9,60,31,57,57,0,7.0,8
3,9,360,57,50,32,0,7.0,22
3,9,50,98,71,30,0,1.0,13
3,9,50,57,60,21,0,7.0,12
3,9,80,67,63,-7,0,1.0,16
3,9,50,41,56,31,0,7.0,12
3,9,90,26,63,-9,0,1.0,5
3,9,90,21,44,-41,0,0.0,5
3,9,200,26,58,36,0,8.0,15
3,9,200,57,91,35,0,0.0,21
3,9,260,62,54,28,0,4.0,9
3,9,230,87,64,23,0,7.0,8
3,9,210,41,87,84,0,8.0,8
3,9,90,36,72,53,0,3.0,29
3,9,260,57,82,67,0,8.0,1
3,9,180,57,88,36,0,1.0,19
3,9,210,26,64,57,2,8.0,5
3,9,250,21,73,70,0,8.0,9
3,9,200,57,73,58,0,3.0,22
3,9,240,72,42,14,0,6.0,11
3,9,220,134,70,63,1,8.0,6
3,9,240,134,85,61,0,8.0,2
3,9,290,51,41,-9,0,7.0,9
3,9,280,51,33,18,1,8.0,-5
3,9,290,26,40,5,0,2.0,7
3,9,220,67,80,72,0,8.0,4
3,9,990,10,87,62,0,1.0,21
3,9,330,36,77,58,0,8.0,6
3,9,230,93,109,80,0,7.0,0
3,9,240,93,113,87,-1,7.0,-2
3,9,220,93,68,68,5,8.0,19
3,9,250,41,62,37,0,4.0,3
3,9,40,87,48,16,0,3.0,17
3,9,350,46,32,23,1,8.0,4
3,9,200,87,36,27,2,8.0,0
3,9,50,26,52,42,0,7.0,7
3,9,300,57,35,11,-1,7.0,4
3,9,230,26,46,9,0,7.0,2
3,9,200,62,77,34,0,5.0,5
3,9,150,26,83,39,0,8.0,22
3,9,50,62,-11,-25,0,1.0,10
3,9,60,77,15,-17,0,5.0,12
3,9,50,67,-13,-38,0,6.0,3
3,9,50,46,-19,-35,0,2.0,10
3,9,240,31,10,0,0,8.0,9
3,9,310,36,49,49,4,8.0,4
3,9,10,51,40,40,1,8.0,1
3,9,90,46,40,22,0,0.0,12
3,9,100,41,19,-22,0,1.0,16
3,9,200,46,68,38,0,7.0,20
3,9,990,15,77,57,0,7.0,12
3,9,200,41,93,47,0,0.0,23
3,9,190,41,103,49,0,0.0,27
3,9,200,46,95,47,0,6.0,33
3,9,190,21,121,66,0,0.0,22
3,9,240,67,126,79,0,1.0,18
3,9,230,108,99,70,0,7.0,3
3,9,240,87,100,67,0,7.0,1
3,9,270,36,68,17,0,1.0,10
3,9,200,36,67,-1,0,1.0,23
3,9,200,36,100,44,0,6.0,32
3,9,200,57,111,72,0,7.0,13
3,9,250,77,73,26,0,4.0,9
3,9,270,21,60,8,0,2.0,9
3,9,330,62,52,2,0,6.0,11
3,9,360,72,38,3,0,7.0,17
3,9,90,36,42,-64,0,1.0,12
3,9,100,51,28,-53,0,1.0,9
3,9,220,26,42,-58,0,1.0,18
3,9,160,21,83,-66,0,2.0,17
3,9,200,46,115,56,0,8.0,27
3,9,230,51,79,68,0,7.0,5
3,9,200,62,49,36,1,8.0,2
3,9,200,77,51,31,0,7.0,9
3,9,220,41,53,34,0,1.0,11
3,9,170,26,80,6,0,3.0,16
3,9,240,46,60,30,0,3.0,13
3,9,240,98,70,65,2,8.0,1
3,9,230,72,100,99,-1,8.0,2
3,9,240,57,101,84,0,7.0,19
3,9,290,36,84,25,0,6.0,6
3,9,990,10,65,10,0,4.0,31
3,9,240,51,58,42,-1,8.0,7
