MM,HH,DD,FF,T,TD,RH,N,TC
6,5,340,41,84,53,0,7.0,3
6,5,30,21,57,43,0,3.0,13
6,5,220,46,85,56,-1,7.0,5
6,5,240,36,59,55,-1,5.0,4
6,5,200,31,44,41,0,2.0,15
6,5,140,31,102,65,-1,8.0,-8
6,5,150,15,114,112,0,7.0,3
6,5,340,36,118,118,0,8.0,-1
6,5,190,46,133,114,-1,7.0,1
6,5,210,77,119,111,0,7.0,3
6,5,240,62,113,107,0,4.0,6
6,5,200,67,149,105,0,6.0,2
6,5,230,82,115,92,0,7.0,4
6,5,230,82,93,77,0,1.0,12
6,5,220,51,119,76,0,8.0,-8
6,5,240,62,101,92,-1,8.0,4
6,5,190,21,64,64,0,9.0,8
6,5,220,41,92,92,24,8.0,-3
6,5,210,77,97,76,0,7.0,4
6,5,180,31,104,104,8,8.0,2
6,5,190,31,99,99,0,7.0,17
6,5,270,41,159,156,0,6.0,1
6,5,200,41,141,131,0,7.0,15
6,5,230,72,165,149,0,7.0,-11
6,5,230,57,166,166,0,8.0,0
6,5,250,57,150,150,10,8.0,-6
6,5,120,31,129,118,0,7.0,14
6,5,300,46,114,112,0,8.0,1
6,5,280,26,106,98,0,3.0,9
6,5,200,41,103,95,0,5.0,16
6,5,100,26,172,117,0,7.0,6
6,5,190,10,158,138,0,8.0,10
6,5,220,46,133,114,-1,8.0,1
6,5,30,36,137,132,16,8.0,-4
6,5,230,26,114,101,0,7.0,4
6,5,220,31,131,129,-1,8.0,2
6,5,200,31,118,115,0,4.0,10
6,5,10,5,133,125,0,7.0,2
6,5,210,21,109,109,0,9.0,0
6,5,220,21,125,120,0,1.0,11
6,5,50,31,111,76,0,3.0,13
6,5,40,41,109,95,0,1.0,6
6,5,80,15,122,106,0,0.0,11
6,5,210,15,136,130,0,8.0,9
6,5,180,15,145,129,0,1.0,22
6,5,20,57,165,147,0,1.0,5
6,5,40,46,101,72,0,1.0,13
6,5,30,51,99,78,0,7.0,5
6,5,280,21,86,82,0,6.0,6
6,5,40,72,128,128,29,7.0,0
6,5,990,10,131,122,3,8.0,-4
6,5,990,10,101,101,0,9.0,1
6,5,50,36,118,113,0,1.0,12
6,5,20,46,130,122,0,6.0,1
6,5,30,41,128,125,-1,8.0,0
6,5,340,21,129,127,0,4.0,4
6,5,20,26,150,139,0,2.0,7
6,5,150,5,142,115,0,1.0,22
6,5,990,15,158,106,0,1.0,28
6,5,170,21,173,113,0,0.0,28
6,5,200,36,129,78,0,7.0,9
6,5,130,21,129,115,0,6.0,28
6,5,230,31,116,113,0,5.0,6
6,5,30,21,126,124,0,8.0,6
6,5,0,0,143,140,0,6.0,17
6,5,30,26,160,145,0,2.0,9
6,5,0,0,154,143,0,0.0,10
6,5,990,15,151,135,0,1.0,20
6,5,50,26,153,124,0,1.0,26
6,5,210,31,197,129,0,5.0,17
6,5,200,51,169,151,0,2.0,16
6,5,210,77,128,89,0,7.0,2
6,5,190,26,113,104,-1,8.0,0
6,5,240,36,111,76,0,7.0,3
6,5,30,67,120,120,3,8.0,-17
6,5,220,51,114,100,0,4.0,11
6,5,250,36,110,107,0,7.0,9
6,5,230,62,128,98,0,6.0,11
6,5,230,41,159,141,0,8.0,1
6,5,230,46,123,97,0,7.0,3
6,5,360,31,120,111,0,5.0,15
6,5,50,21,113,90,0,1.0,23
6,5,340,21,132,107,0,7.0,5
6,5,250,26,94,75,0,1.0,13
6,5,190,15,82,67,0,6.0,20
6,5,80,10,122,98,0,7.0,1
6,5,260,46,154,151,0,7.0,6
6,5,990,15,104,82,-1,7.0,7
6,5,60,41,118,92,0,1.0,21
6,5,990,15,142,94,0,0.0,32
6,5,120,21,86,66,0,1.0,30
6,5,240,67,185,163,-1,8.0,-15
6,5,220,72,135,119,0,7.0,3
6,5,230,93,108,77,-1,8.0,-2
6,5,280,36,84,81,0,3.0,14
6,5,200,46,83,69,0,7.0,10
6,5,240,51,131,129,-1,8.0,3
6,5,300,21,115,110,0,8.0,5
6,5,240,31,78,75,0,2.0,13
6,5,250,36,100,100,5,7.0,2
6,5,320,21,81,75,-1,7.0,5
6,5,30,41,91,91,0,0.0,6
6,5,40,31,105,100,0,2.0,12
6,5,990,5,116,108,0,1.0,11
6,5,30,31,104,83,0,0.0,10
6,5,230,57,127,107,0,7.0,0
6,5,280,21,122,119,-1,8.0,-2
6,5,200,46,140,94,0,7.0,17
6,5,230,67,135,79,0,1.0,8
6,5,210,41,120,107,0,6.0,10
6,5,230,51,137,111,0,2.0,8
6,5,240,93,174,146,0,8.0,3
6,5,220,21,126,118,0,7.0,9
6,5,100,41,133,92,0,1.0,25
6,5,80,26,186,139,0,5.0,20
6,5,50,21,167,165,0,4.0,10
6,5,260,15,155,137,0,4.0,4
6,5,990,10,172,147,0,6.0,17
6,5,200,51,222,193,0,5.0,6
6,5,40,21,134,118,0,5.0,17
6,5,340,31,118,117,-1,8.0,3
6,5,990,10,94,93,0,0.0,21
6,5,190,31,95,95,0,1.0,8
6,5,200,36,116,114,0,7.0,5
6,5,200,26,115,115,-1,8.0,2
