MM,HH,DD,FF,T,TD,RH,N,TC
12,22,80,36,4,4,0,8.0,2
12,22,80,26,-10,-10,-1,8.0,-1
12,22,60,36,-17,-17,0,8.0,1
12,22,220,26,18,18,0,8.0,0
12,22,30,31,-12,-12,0,0.0,-2
12,22,210,26,-43,-43,0,0.0,3
12,22,190,21,9,0,0,8.0,3
12,22,40,31,23,8,0,7.0,1
12,22,90,62,-11,-53,0,0.0,-6
12,22,60,46,-37,-95,0,0.0,-7
12,22,190,36,18,-23,0,7.0,-1
12,22,200,26,-21,-40,0,0.0,-11
12,22,200,51,-2,-37,0,0.0,0
12,22,160,15,5,-27,0,0.0,-21
12,22,200,57,24,-41,0,5.0,1
12,22,200,36,43,43,-1,8.0,2
12,22,220,93,77,77,18,8.0,-1
12,22,230,62,48,25,0,8.0,-1
12,22,240,108,96,74,-1,6.0,-39
12,22,270,67,34,10,0,7.0,-1
12,22,260,72,109,107,2,8.0,0
12,22,240,77,106,90,-1,8.0,0
12,22,290,62,72,47,-1,8.0,-7
12,22,260,36,37,36,2,7.0,1
12,22,220,57,25,19,0,8.0,1
12,22,290,67,73,46,0,7.0,-2
12,22,990,15,50,30,-1,8.0,-1
12,22,210,26,41,37,0,6.0,-12
12,22,270,15,48,41,-1,8.0,0
12,22,110,10,42,41,0,8.0,-1
12,22,240,46,26,17,0,8.0,-1
12,22,210,72,57,42,0,1.0,4
12,22,220,134,105,91,1,8.0,1
12,22,230,98,57,43,0,7.0,-1
12,22,220,87,42,33,0,7.0,-1
12,22,200,51,26,20,0,4.0,1
12,22,150,51,38,8,0,8.0,6
12,22,200,26,63,59,0,8.0,2
12,22,360,31,44,44,0,9.0,0
12,22,30,36,29,29,0,8.0,1
12,22,990,10,25,15,0,8.0,-1
12,22,220,98,49,49,11,8.0,1
12,22,240,46,43,33,0,5.0,0
12,22,230,98,62,59,1,8.0,3
12,22,220,46,70,53,0,8.0,-4
12,22,180,46,81,49,0,8.0,-1
12,22,200,41,62,45,0,1.0,-12
12,22,180,36,61,47,0,0.0,8
12,22,200,77,98,67,0,8.0,-9
12,22,20,26,60,60,0,6.0,-7
12,22,20,46,20,20,12,8.0,-5
12,22,70,21,28,28,0,8.0,1
12,22,300,10,14,11,0,8.0,1
12,22,60,26,41,41,0,8.0,1
12,22,100,36,21,21,-1,8.0,0
12,22,60,36,-10,-14,0,8.0,-1
12,22,40,41,-27,-28,0,8.0,-3
12,22,60,46,-22,-22,0,0.0,-4
12,22,70,62,-32,-47,0,2.0,2
12,22,20,15,-22,-107,0,2.0,-10
12,22,210,15,-39,-51,0,0.0,-8
12,22,200,10,-40,-58,0,0.0,-11
12,22,200,62,15,15,0,4.0,2
12,22,230,82,81,81,5,8.0,4
12,22,210,87,77,57,0,8.0,0
12,22,270,36,62,62,0,8.0,-11
12,22,230,62,62,58,0,7.0,0
12,22,200,51,58,48,0,8.0,-1
12,22,230,62,23,14,0,2.0,-2
12,22,220,165,104,92,3,8.0,-1
12,22,230,77,64,32,0,4.0,-8
12,22,250,67,59,45,0,6.0,-11
12,22,240,51,21,21,6,6.0,7
12,22,190,98,44,38,11,8.0,8
12,22,230,82,79,50,-1,8.0,-2
12,22,210,46,3,-10,0,5.0,1
12,22,220,98,42,29,0,8.0,-3
12,22,240,57,48,23,-1,4.0,-6
12,22,240,72,87,87,1,8.0,2
12,22,210,103,109,92,0,8.0,-1
12,22,280,67,90,48,0,7.0,-5
12,22,210,51,61,61,1,8.0,25
12,22,220,77,16,3,-1,7.0,5
12,22,240,108,56,53,21,8.0,-4
12,22,200,51,47,47,3,6.0,-1
12,22,350,51,32,32,3,8.0,-1
12,22,220,26,-16,-16,0,6.0,-5
12,22,310,31,17,17,4,8.0,1
12,22,240,51,26,26,3,8.0,2
12,22,190,62,26,7,0,7.0,0
12,22,210,57,68,67,-1,6.0,6
12,22,210,134,92,89,22,8.0,5
12,22,240,46,48,45,0,7.0,-2
12,22,160,21,2,-3,0,1.0,-2
12,22,190,41,68,54,0,5.0,11
12,22,220,51,102,85,4,8.0,-9
12,22,220,82,118,91,0,7.0,-1
12,22,200,87,102,70,0,8.0,-3
12,22,200,62,51,35,0,1.0,0
12,22,210,67,59,45,0,3.0,4
12,22,210,113,97,83,1,8.0,8
12,22,70,31,35,28,0,3.0,-11
12,22,230,103,118,107,1,8.0,2
12,22,240,82,123,104,0,7.0,-1
12,22,230,82,118,90,0,7.0,0
12,22,10,108,61,55,38,8.0,-3
12,22,360,15,24,19,0,0.0,-7
12,22,200,31,-2,-15,0,2.0,3
12,22,210,31,45,45,0,8.0,-2
12,22,180,57,53,35,0,8.0,-3
12,22,210,62,67,59,4,8.0,2
12,22,210,57,59,46,-1,8.0,-1
12,22,210,41,13,8,0,3.0,8
12,22,20,21,24,20,0,8.0,1
12,22,60,36,-8,-12,0,3.0,-9
12,22,60,21,-27,-34,0,0.0,-8
12,22,250,15,-52,-54,0,0.0,-3
12,22,200,72,-24,-39,0,2.0,5
12,22,210,87,34,25,0,8.0,5
12,22,230,98,114,110,2,8.0,2
12,22,210,108,129,104,0,8.0,0
12,22,210,98,97,80,10,7.0,0
12,22,230,118,53,25,0,2.0,-1
12,22,270,46,28,23,20,8.0,-1
12,22,120,21,-4,-7,0,1.0,-4
12,22,90,21,56,51,0,8.0,0
12,22,90,46,26,8,0,7.0,-7
12,22,40,62,-7,-35,-1,8.0,0
12,22,60,31,-44,-66,0,7.0,6
12,22,90,51,-28,-62,0,8.0,-1
12,22,170,21,-26,-32,0,6.0,-7
12,22,50,21,15,0,0,8.0,-1
12,22,990,15,3,3,0,9.0,2
12,22,70,36,-8,-8,0,9.0,1
12,22,310,5,13,13,-1,8.0,1
12,22,40,46,15,8,0,8.0,1
12,22,40,46,-16,-30,0,5.0,-4
12,22,50,77,9,-19,-1,7.0,-1
12,22,70,72,-19,-35,0,0.0,1
12,22,80,36,-16,-28,0,2.0,-3
12,22,210,51,33,30,-1,8.0,0
12,22,350,26,29,29,-1,9.0,-6
12,22,220,51,42,36,-1,8.0,0
12,22,70,21,-14,-16,0,1.0,-5
12,22,120,21,24,24,-1,8.0,28
12,22,200,77,108,96,0,8.0,-5
12,22,350,41,21,21,12,8.0,-5
12,22,70,26,-6,-6,0,7.0,-3
12,22,220,57,4,-10,0,7.0,2
12,22,50,36,-23,-37,0,3.0,-10
12,22,90,26,-53,-68,0,0.0,-12
12,22,60,41,-69,-90,0,0.0,0
12,22,90,72,-54,-112,0,1.0,-5
12,22,90,46,-21,-33,-1,8.0,1
12,22,80,21,14,14,0,8.0,1
12,22,230,90,74,62,1,8.0,3
12,22,220,60,45,23,0,3.0,1
12,22,200,100,80,59,-1,8.0,1
12,22,160,20,52,40,0,7.0,2
12,22,70,20,50,50,8,8.0,0
12,22,60,30,58,56,0,8.0,-3
12,22,990,10,5,5,0,9.0,3
12,22,70,30,-9,-17,0,0.0,0
12,22,110,20,-1,-16,0,8.0,0
12,22,80,30,-3,-10,0,8.0,-2
12,22,990,10,-9,-14,0,8.0,5
12,22,80,10,9,4,0,8.0,0
12,22,30,50,9,2,0,6.0,-4
12,22,200,40,-17,-29,0,0.0,3
12,22,220,40,44,37,-1,8.0,-3
12,22,130,20,19,13,0,7.0,7
12,22,130,10,40,39,0,8.0,3
12,22,170,40,89,66,0,8.0,-2
12,22,210,10,84,83,-1,8.0,0
12,22,70,60,6,-6,-1,8.0,-1
12,22,70,60,-19,-41,0,1.0,1
12,22,70,80,-14,-112,0,7.0,-1
12,22,50,80,-48,-81,0,1.0,-3
12,22,50,40,-69,-102,0,0.0,-2
12,22,60,50,-39,-54,0,0.0,-6
12,22,150,40,-64,-96,0,3.0,-3
12,22,80,30,-76,-130,0,3.0,-10
12,22,30,30,-103,-153,0,1.0,-1
12,22,220,50,-40,-44,6,8.0,5
12,22,90,40,-56,-65,-1,8.0,-1
12,22,40,60,-142,-163,0,3.0,-1
12,22,170,30,19,8,0,7.0,-1
12,22,20,60,7,-18,0,8.0,-1
12,22,40,40,5,-26,0,8.0,-13
12,22,20,10,5,-2,0,4.0,-16
12,22,200,50,5,-10,0,6.0,4
12,22,210,70,32,12,0,8.0,4
12,22,180,50,35,-44,0,6.0,-5
12,22,200,60,81,59,0,7.0,-2
12,22,200,70,87,81,2,8.0,5
12,22,230,80,113,81,0,7.0,0
12,22,230,80,102,83,-1,7.0,-6
12,22,290,40,50,37,0,1.0,-6
12,22,230,50,60,52,0,8.0,-2
12,22,40,60,38,5,0,7.0,-6
12,22,50,60,-4,-32,0,7.0,-5
12,22,80,90,-42,-70,0,0.0,0
12,22,100,40,32,12,0,8.0,-3
12,22,90,40,50,38,0,8.0,11
12,22,150,30,45,40,0,2.0,6
12,22,990,10,34,34,1,8.0,-1
12,22,20,30,22,22,0,8.0,0
12,22,80,10,24,24,0,8.0,0
12,22,190,50,60,51,0,8.0,2
12,22,220,90,112,103,0,8.0,4
12,22,230,110,109,71,0,7.0,-5
12,22,250,50,58,50,0,8.0,0
12,22,230,50,59,53,6,8.0,0
12,22,220,90,43,35,19,8.0,-4
12,22,210,30,29,23,0,7.0,-8
12,22,190,70,72,37,0,6.0,8
12,22,220,30,78,75,2,8.0,-7
12,22,50,40,-30,-44,0,0.0,-3
12,22,50,30,-22,-36,0,8.0,0
12,22,260,20,-9,-27,0,8.0,-2
12,22,260,40,10,9,0,6.0,-2
12,22,260,40,0,0,1,8.0,-1
12,22,260,30,-1,-3,-1,7.0,2
12,22,230,20,-4,-4,0,7.0,1
12,22,190,50,17,5,-1,8.0,-1
12,22,200,50,34,26,0,8.0,-2
12,22,140,20,30,29,0,8.0,-2
12,22,230,50,69,56,0,8.0,-1
12,22,200,70,118,117,23,8.0,7
12,22,220,60,81,66,0,8.0,-2
12,22,220,80,114,101,0,8.0,0
12,22,230,80,88,83,1,8.0,4
12,22,180,30,46,40,0,4.0,8
12,22,210,70,91,-9,0,0.0,-9
12,22,200,60,77,72,0,8.0,-2
12,22,250,50,54,30,0,7.0,-2
12,22,300,30,4,-5,0,1.0,-2
12,22,240,30,21,15,-1,8.0,-3
12,22,200,40,33,30,0,8.0,0
12,22,220,30,17,-2,0,7.0,-6
12,22,200,60,18,5,0,5.0,3
12,22,210,110,75,61,2,8.0,1
12,22,210,140,98,72,0,8.0,-7
12,22,210,100,114,79,-1,8.0,-3
12,22,210,50,59,40,0,5.0,-7
12,22,110,40,42,28,0,3.0,-5
12,22,160,40,56,29,0,0.0,-2
12,22,90,50,52,16,0,7.0,-1
12,22,230,50,73,54,0,5.0,-10
12,22,210,80,54,33,0,5.0,7
12,22,250,60,54,-7,0,3.0,-2
12,22,220,60,23,0,0,5.0,-6
12,22,200,40,18,12,0,6.0,-2
12,22,220,100,73,60,-1,8.0,-2
12,22,240,80,77,54,0,6.0,0
12,22,210,110,98,67,-1,7.0,1
12,22,210,80,62,33,0,2.0,-1
12,22,200,40,54,39,0,6.0,0
12,22,230,100,102,73,0,8.0,2
12,22,260,50,52,40,0,6.0,-4
12,22,220,90,54,29,0,6.0,5
12,22,230,40,16,9,0,8.0,-6
12,22,290,20,-20,-23,0,7.0,1
12,22,210,60,17,13,0,8.0,3
12,22,240,60,61,58,7,8.0,-2
12,22,190,20,13,3,0,7.0,1
12,22,250,30,-8,-9,0,5.0,0
12,22,230,30,8,4,0,7.0,0
12,22,180,30,-18,-39,0,0.0,1
12,22,180,70,30,-53,-1,7.0,1
12,22,180,50,27,14,0,0.0,1
12,22,200,110,85,71,24,8.0,0
12,22,220,90,48,16,0,7.0,3
12,22,190,50,38,31,14,8.0,-7
12,22,70,40,16,7,0,8.0,0
12,22,280,30,23,21,3,8.0,-3
12,22,240,40,21,15,0,7.0,-2
12,22,200,60,28,19,-1,8.0,0
12,22,190,30,42,29,0,8.0,0
12,22,190,50,118,107,5,8.0,3
12,22,180,20,108,86,-1,7.0,0
12,22,180,40,57,33,0,0.0,1
12,22,190,60,93,61,0,2.0,-1
12,22,190,60,126,69,-1,8.0,-4
12,22,200,50,100,85,0,0.0,1
12,22,160,80,133,95,-1,8.0,9
12,22,200,70,105,61,0,2.0,-2
12,22,210,80,89,59,0,3.0,-3
12,22,240,110,104,65,0,7.0,2
12,22,210,80,124,112,8,8.0,5
12,22,200,80,122,66,0,8.0,3
12,22,230,110,95,50,0,6.0,-4
12,22,220,70,62,44,2,7.0,-1
12,22,230,60,35,18,0,6.0,-5
12,22,220,30,25,-10,0,7.0,-17
12,22,180,40,16,-2,0,6.0,5
12,22,180,20,52,45,2,8.0,-2
12,22,100,50,38,27,0,5.0,0
12,22,100,50,10,-26,0,0.0,-3
12,22,90,30,-25,-50,0,1.0,-5
12,22,80,20,-37,-55,0,0.0,-4
12,22,210,30,5,-39,0,0.0,13
12,22,30,40,14,2,-1,8.0,-5
12,22,60,60,-9,-24,0,8.0,0
12,22,40,30,-8,-13,0,8.0,1
12,22,260,20,0,-3,-1,8.0,-1
12,22,200,50,2,-10,0,0.0,-4
12,22,230,50,1,-10,0,4.0,-4
12,22,250,40,6,0,0,4.0,3
12,22,160,50,9,-24,0,7.0,1
12,22,260,20,99,90,0,7.0,-3
12,22,60,10,87,86,0,7.0,-2
12,22,180,30,93,81,0,8.0,-1
12,22,250,50,75,56,0,6.0,-2
12,22,260,100,107,59,0,7.0,-9
12,22,990,10,32,25,0,1.0,-8
12,22,60,20,-2,-2,0,0.0,1
12,22,70,30,0,-12,0,0.0,4
12,22,70,30,-3,-19,0,3.0,0
12,22,50,10,1,-31,0,1.0,-13
12,22,270,20,25,25,-1,8.0,1
12,22,20,30,22,22,0,8.0,-1
12,22,90,50,-26,-89,0,0.0,-10
12,22,50,40,-47,-76,0,0.0,-2
12,22,40,40,-6,-16,0,8.0,0
12,22,50,30,-23,-27,0,8.0,-3
