MM,HH,DD,FF,T,TD,RH,N,TC
4,16,240,93,153,81,0,7.0,-9
4,16,230,98,166,40,0,1.0,-6
4,16,210,51,101,68,0,6.0,-11
4,16,190,72,117,2,0,7.0,-3
4,16,230,72,113,23,0,7.0,-8
4,16,220,67,118,31,0,7.0,-6
4,16,240,108,114,48,-1,5.0,-1
4,16,270,77,129,48,0,4.0,-4
4,16,220,36,137,46,0,3.0,5
4,16,60,36,177,59,0,1.0,-6
4,16,150,51,194,58,0,5.0,-6
4,16,100,77,209,32,0,0.0,-11
4,16,50,31,199,32,0,3.0,-8
4,16,50,41,190,51,0,2.0,-7
4,16,60,36,191,33,0,0.0,-11
4,16,340,77,72,2,0,7.0,-26
4,16,340,46,65,35,0,6.0,-5
4,16,280,51,37,33,4,7.0,6
4,16,30,72,63,-47,0,6.0,-6
4,16,10,57,65,-64,0,4.0,-5
4,16,270,57,70,-30,0,5.0,10
4,16,270,67,76,25,0,5.0,-14
4,16,340,31,53,44,10,7.0,3
4,16,990,15,92,32,0,4.0,-21
4,16,80,87,111,14,0,4.0,-7
4,16,50,46,138,1,0,2.0,-13
4,16,20,36,135,2,0,2.0,-4
4,16,320,36,111,-13,0,4.0,0
4,16,320,5,108,29,0,6.0,-2
4,16,70,77,80,80,10,8.0,-4
4,16,270,46,104,2,0,2.0,-7
4,16,190,36,95,43,0,6.0,-13
4,16,360,41,82,39,0,7.0,-1
4,16,20,36,76,6,0,6.0,-2
4,16,310,36,89,-7,0,6.0,-7
4,16,180,36,102,28,0,6.0,2
4,16,160,36,136,28,0,5.0,-8
4,16,60,57,153,11,0,3.0,-12
4,16,60,57,146,25,0,0.0,-8
4,16,70,41,147,44,0,7.0,-5
4,16,360,26,169,36,0,6.0,-2
4,16,240,67,122,83,0,7.0,4
4,16,250,57,80,61,17,7.0,-3
4,16,190,57,137,14,0,7.0,1
4,16,290,82,55,43,3,8.0,-5
4,16,350,57,58,-9,0,5.0,3
4,16,240,62,64,57,6,8.0,1
4,16,250,62,132,113,0,8.0,-4
4,16,310,62,120,30,0,2.0,-6
4,16,80,26,111,19,0,2.0,-2
4,16,990,15,180,27,0,2.0,-4
4,16,250,41,130,70,0,8.0,-3
4,16,240,31,122,89,-1,7.0,3
4,16,230,41,149,97,0,7.0,6
4,16,270,31,122,113,-1,8.0,-2
4,16,250,57,174,93,-1,8.0,-25
4,16,230,93,128,57,0,5.0,-18
4,16,230,93,128,57,0,5.0,-16
4,16,20,51,104,60,0,2.0,1
4,16,210,67,142,45,0,7.0,-6
4,16,220,77,107,65,-1,7.0,-4
4,16,340,26,94,16,0,7.0,-3
4,16,990,15,106,9,0,2.0,4
4,16,290,46,65,40,-1,7.0,5
4,16,190,108,72,47,17,8.0,-1
4,16,290,51,69,52,32,8.0,7
4,16,300,31,82,44,0,8.0,0
4,16,60,36,103,12,0,5.0,-6
4,16,170,46,142,15,0,8.0,-7
4,16,50,31,147,26,0,3.0,-11
4,16,90,67,109,80,4,7.0,1
4,16,990,10,135,33,-1,6.0,-26
4,16,10,21,132,83,0,6.0,-7
4,16,260,41,85,85,82,7.0,7
4,16,350,41,133,59,0,5.0,-34
4,16,230,36,127,67,0,3.0,-3
4,16,230,57,103,84,-1,8.0,-1
4,16,250,93,123,97,-1,8.0,0
4,16,250,31,128,83,0,8.0,0
4,16,220,62,220,85,0,2.0,-13
4,16,240,57,224,62,0,5.0,-10
4,16,230,129,159,84,0,8.0,-23
4,16,140,41,194,101,0,5.0,-2
4,16,170,21,219,94,0,7.0,-4
4,16,990,15,196,92,0,4.0,-5
4,16,220,31,208,1,0,6.0,-9
4,16,40,98,233,97,0,0.0,-4
4,16,80,103,257,18,0,0.0,-7
4,16,80,46,251,68,0,1.0,-6
