MM,HH,DD,FF,T,TD,RH,N,TC
6,6,10,36,87,53,0,7.0,2
6,6,50,26,70,47,0,3.0,24
6,6,230,67,90,63,-1,8.0,-7
6,6,230,46,63,57,0,7.0,4
6,6,200,26,59,50,0,3.0,22
6,6,130,36,94,80,2,8.0,4
6,6,180,26,117,117,16,8.0,7
6,6,340,36,117,117,-1,8.0,-1
6,6,200,46,134,115,-1,7.0,1
6,6,210,77,122,109,0,7.0,5
6,6,240,57,119,103,0,2.0,10
6,6,210,72,151,107,0,7.0,10
6,6,230,87,119,91,0,7.0,10
6,6,240,77,105,84,0,2.0,16
6,6,190,31,111,85,2,8.0,-1
6,6,250,57,105,91,2,8.0,8
6,6,190,26,72,72,0,9.0,7
6,6,990,15,89,89,6,8.0,8
6,6,230,82,101,80,-1,7.0,-6
6,6,190,41,106,106,12,8.0,10
6,6,180,31,116,116,0,2.0,19
6,6,250,41,160,133,0,6.0,3
6,6,220,67,156,138,0,6.0,3
6,6,260,62,154,149,2,8.0,1
6,6,230,62,166,166,0,8.0,5
6,6,270,26,144,144,16,8.0,5
6,6,160,41,143,122,-1,7.0,-11
6,6,290,51,115,110,0,8.0,7
6,6,270,36,115,91,0,3.0,5
6,6,210,46,119,106,0,4.0,29
6,6,110,41,178,120,0,7.0,15
6,6,210,21,168,144,0,8.0,6
6,6,230,41,134,111,0,8.0,8
6,6,30,46,133,124,16,8.0,-3
6,6,220,31,118,102,0,8.0,6
6,6,220,36,133,131,1,8.0,0
6,6,210,31,128,119,0,4.0,13
6,6,260,5,135,127,-1,8.0,0
6,6,220,36,109,109,0,9.0,8
6,6,220,21,136,130,0,1.0,13
6,6,40,41,124,79,0,1.0,8
6,6,30,46,115,98,0,5.0,6
6,6,20,21,133,107,0,0.0,14
6,6,200,21,145,139,0,7.0,16
6,6,990,5,167,138,0,1.0,34
6,6,30,51,170,148,0,1.0,7
6,6,40,57,114,75,0,1.0,14
6,6,30,51,104,75,0,8.0,11
6,6,290,21,92,84,0,8.0,7
6,6,30,67,128,126,1,8.0,1
6,6,990,10,127,122,16,8.0,3
6,6,990,5,102,102,0,7.0,13
6,6,40,41,130,116,0,1.0,15
6,6,40,51,131,125,0,7.0,2
6,6,30,36,128,126,-1,8.0,4
6,6,340,26,133,130,0,6.0,11
6,6,990,15,157,139,0,1.0,13
6,6,990,5,164,135,0,1.0,29
6,6,170,21,186,119,0,1.0,23
6,6,180,31,201,133,0,0.0,18
6,6,210,41,138,84,0,7.0,7
6,6,170,10,157,121,0,3.0,34
6,6,240,26,122,120,0,7.0,7
6,6,40,21,132,129,0,8.0,6
6,6,990,10,160,150,0,6.0,32
6,6,50,26,169,147,0,3.0,11
6,6,990,5,164,148,0,0.0,21
6,6,80,21,171,146,0,1.0,16
6,6,70,26,179,132,0,1.0,28
6,6,210,41,214,143,0,5.0,16
6,6,210,72,185,150,0,4.0,-5
6,6,210,93,130,89,0,7.0,6
6,6,190,26,113,108,2,8.0,2
6,6,250,36,114,79,0,7.0,11
6,6,30,72,103,101,3,8.0,2
6,6,220,67,125,104,0,7.0,4
6,6,250,41,119,113,0,7.0,10
6,6,220,57,139,107,0,6.0,8
6,6,230,41,160,140,0,8.0,3
6,6,230,36,126,107,0,7.0,15
