MM,HH,DD,FF,T,TD,RH,N,TC
8,6,210,15,142,139,0,7.0,20
8,6,210,31,159,149,0,0.0,13
8,6,220,26,146,146,0,9.0,8
8,6,210,15,169,152,0,7.0,9
8,6,210,26,169,167,0,6.0,14
8,6,190,31,198,148,0,4.0,25
8,6,220,26,187,168,0,1.0,15
8,6,360,51,162,162,30,8.0,-2
8,6,990,10,136,127,0,1.0,15
8,6,230,51,165,136,0,8.0,2
8,6,240,57,160,147,0,6.0,0
8,6,280,21,166,166,0,8.0,5
8,6,170,15,135,122,0,6.0,23
8,6,240,15,160,150,0,7.0,6
8,6,170,10,139,123,0,1.0,23
8,6,230,51,149,138,0,7.0,-1
8,6,230,67,138,127,0,5.0,7
8,6,230,31,129,120,0,1.0,9
8,6,200,26,105,103,0,2.0,22
8,6,220,41,145,97,0,6.0,6
8,6,180,10,125,123,0,0.0,31
8,6,120,36,187,125,0,4.0,21
8,6,240,67,168,155,2,8.0,-3
8,6,200,36,137,112,0,7.0,20
8,6,120,10,122,109,0,1.0,27
8,6,140,10,122,108,0,1.0,33
8,6,170,10,121,107,0,1.0,30
8,6,10,26,127,121,0,4.0,11
8,6,40,31,99,90,0,1.0,23
8,6,90,26,111,76,0,0.0,30
8,6,90,31,125,99,0,0.0,26
8,6,200,36,201,182,0,6.0,11
8,6,230,57,177,155,0,7.0,5
8,6,220,21,185,178,0,7.0,13
8,6,230,67,143,129,0,7.0,10
8,6,200,36,136,115,0,0.0,18
8,6,200,36,155,133,0,2.0,19
8,6,70,41,162,149,0,1.0,23
8,6,120,77,192,185,10,7.0,6
8,6,190,46,243,171,0,3.0,0
8,6,200,46,176,171,0,7.0,7
8,6,190,31,136,125,0,1.0,21
8,6,200,51,150,139,0,6.0,9
8,6,230,87,140,129,1,8.0,3
8,6,290,82,143,137,2,8.0,-6
8,6,210,26,123,121,0,7.0,6
8,6,190,46,135,105,0,6.0,12
8,6,240,46,129,129,25,8.0,1
8,6,90,10,151,149,0,7.0,8
8,6,210,26,167,167,0,3.0,10
8,6,120,21,194,181,0,7.0,8
8,6,260,41,170,164,0,7.0,1
8,6,190,21,145,139,0,3.0,14
8,6,250,51,134,125,0,7.0,3
8,6,210,77,150,137,-1,8.0,8
8,6,210,82,189,169,0,6.0,-2
8,6,280,21,180,180,0,8.0,1
8,6,210,67,179,157,0,6.0,10
8,6,180,31,198,170,-1,7.0,-5
8,6,990,15,138,138,14,8.0,-1
8,6,180,36,131,113,0,7.0,14
8,6,190,31,121,112,0,8.0,2
8,6,200,41,123,110,0,8.0,9
8,6,990,10,142,124,0,7.0,15
8,6,210,26,158,140,0,7.0,5
8,6,230,21,157,128,0,7.0,4
8,6,130,26,153,153,22,7.0,11
8,6,250,72,129,108,0,1.0,8
8,6,200,36,117,104,0,8.0,12
8,6,220,26,146,136,0,7.0,19
8,6,210,31,149,143,0,6.0,11
8,6,240,62,163,147,-1,8.0,0
8,6,190,41,109,93,0,7.0,10
8,6,190,57,166,142,0,7.0,3
8,6,200,36,114,105,0,1.0,17
8,6,100,46,136,91,0,4.0,15
8,6,200,57,191,165,0,6.0,4
8,6,190,26,157,152,0,1.0,20
8,6,40,36,129,129,0,8.0,7
8,6,70,36,118,92,0,4.0,22
8,6,990,10,122,103,0,2.0,17
8,6,210,41,150,106,0,5.0,19
8,6,210,36,155,135,0,1.0,20
8,6,80,46,141,139,19,8.0,9
8,6,990,15,84,84,0,9.0,14
8,6,210,31,90,84,0,3.0,14
8,6,200,15,86,80,0,6.0,10
8,6,210,31,103,82,0,8.0,0
8,6,40,41,95,86,0,0.0,20
8,6,990,15,100,100,0,8.0,-1
8,6,210,10,73,69,0,0.0,23
8,6,200,62,99,72,0,7.0,9
8,6,300,26,117,91,0,7.0,6
8,6,190,57,198,176,0,7.0,1
8,6,990,10,165,147,0,2.0,26
8,6,190,10,174,144,0,4.0,29
8,6,180,21,229,156,0,5.0,35
8,6,250,31,207,183,0,4.0,13
8,6,90,15,196,192,0,7.0,3
8,6,40,51,166,149,0,7.0,2
8,6,30,51,160,135,0,5.0,7
8,6,40,41,145,137,0,3.0,14
8,6,110,41,160,141,0,7.0,10
8,6,230,72,168,147,0,3.0,13
8,6,280,41,159,157,-1,8.0,-2
8,6,240,31,129,119,0,7.0,5
8,6,210,41,106,95,0,7.0,4
8,6,210,26,98,95,0,6.0,15
8,6,0,0,104,83,0,5.0,33
8,6,220,36,151,128,5,6.0,9
8,6,240,87,129,113,0,7.0,5
8,6,220,62,145,144,1,8.0,9
8,6,210,46,145,139,0,7.0,9
8,6,210,26,134,127,0,7.0,8
8,6,90,31,164,140,0,7.0,3
8,6,220,31,190,190,0,8.0,10
8,6,250,51,156,148,-1,8.0,0
8,6,200,26,136,121,0,7.0,19
8,6,200,46,157,141,0,7.0,11
8,6,200,57,157,134,0,7.0,12
8,6,240,67,135,130,0,8.0,1
8,6,230,62,115,101,0,1.0,14
8,6,170,21,121,116,0,7.0,11
8,6,110,21,124,105,0,3.0,14
8,6,90,36,212,155,0,0.0,31
8,6,90,41,207,159,0,0.0,18
8,6,100,15,200,111,0,1.0,19
8,6,30,36,173,149,0,1.0,12
8,6,40,31,156,141,0,0.0,19
8,6,170,5,194,161,0,1.0,20
8,6,20,77,170,144,0,8.0,3
8,6,30,46,151,110,0,7.0,8
8,6,40,31,140,112,0,2.0,22
8,6,990,10,153,96,0,1.0,42
8,6,100,36,182,94,0,1.0,21
8,6,210,26,213,176,0,6.0,20
8,6,230,46,184,149,0,7.0,3
8,6,330,26,149,142,0,6.0,9
8,6,200,15,125,125,0,1.0,21
8,6,220,15,149,146,0,6.0,8
8,6,40,26,162,157,0,1.0,18
8,6,80,26,170,119,0,1.0,24
8,6,80,21,184,146,0,1.0,27
8,6,300,15,191,163,0,7.0,13
8,6,40,26,158,158,0,8.0,10
8,6,60,10,176,159,0,0.0,19
8,6,220,31,197,164,0,1.0,18
8,6,270,21,179,178,0,8.0,3
8,6,210,57,150,150,25,8.0,8
8,6,240,41,158,138,0,7.0,1
8,6,270,26,150,150,0,7.0,4
8,6,260,41,102,102,-1,7.0,6
8,6,290,41,113,110,7,8.0,2
8,6,300,31,109,100,0,7.0,5
8,6,990,5,118,118,0,7.0,8
8,6,230,40,177,146,0,6.0,10
8,6,210,40,129,111,0,5.0,18
8,6,990,10,127,111,0,1.0,17
8,6,70,30,137,107,0,0.0,22
8,6,100,40,143,90,0,0.0,24
8,6,110,20,161,100,0,8.0,6
8,6,210,40,138,109,0,1.0,15
8,6,190,30,133,107,0,6.0,22
8,6,180,30,175,107,0,6.0,23
8,6,170,50,222,124,0,7.0,8
8,6,220,50,168,159,7,7.0,8
8,6,230,30,147,142,-1,8.0,-1
8,6,200,70,151,149,47,8.0,0
8,6,280,30,168,167,-1,8.0,3
8,6,270,20,154,151,0,8.0,5
8,6,310,20,145,140,0,5.0,6
8,6,160,10,121,116,0,3.0,29
8,6,990,10,139,130,0,0.0,17
8,6,90,40,164,136,0,0.0,23
8,6,110,20,180,128,0,0.0,24
8,6,190,30,178,168,-1,7.0,-2
8,6,280,20,155,146,0,6.0,14
8,6,180,30,171,143,0,4.0,11
8,6,190,50,147,119,0,1.0,12
8,6,200,50,143,128,0,1.0,10
8,6,180,30,132,123,0,5.0,3
8,6,170,10,107,97,0,3.0,14
8,6,240,30,126,126,6,8.0,3
8,6,210,140,125,115,22,8.0,0
8,6,240,60,134,132,13,8.0,3
8,6,250,40,114,110,-1,8.0,6
8,6,240,40,137,132,-1,8.0,0
8,6,240,30,165,165,-1,8.0,1
8,6,50,20,153,152,0,7.0,16
8,6,30,30,167,165,0,8.0,0
