MM,HH,DD,FF,T,TD,RH,N,TC
1,16,220,72,46,26,0,1.0,-1
1,16,220,123,113,107,2,8.0,6
1,16,220,36,74,74,14,8.0,-2
1,16,230,82,61,20,0,2.0,-6
1,16,200,118,66,52,-1,8.0,-1
1,16,220,93,49,23,0,3.0,7
1,16,230,72,64,34,0,7.0,-11
1,16,200,77,81,43,0,7.0,1
1,16,220,113,93,43,0,2.0,-4
1,16,220,87,85,39,0,8.0,-3
1,16,220,57,68,51,16,5.0,10
1,16,250,31,51,26,0,8.0,-2
1,16,30,41,31,-2,0,2.0,-8
1,16,50,87,11,-26,0,0.0,-7
1,16,90,98,30,-120,0,0.0,-4
1,16,90,51,-1,-80,0,0.0,-5
1,16,100,21,43,-9,0,0.0,-21
1,16,110,21,3,-3,0,0.0,10
1,16,260,26,30,30,6,8.0,0
1,16,210,57,31,-4,0,7.0,0
1,16,320,46,51,26,0,7.0,-5
1,16,40,36,42,11,0,7.0,-2
1,16,40,26,-3,-3,0,8.0,0
1,16,60,26,1,-7,0,8.0,-1
1,16,80,46,15,-7,0,4.0,-4
1,16,80,26,-6,-12,-1,8.0,-1
1,16,60,15,16,-13,0,7.0,-3
1,16,80,46,8,-26,0,1.0,-8
1,16,70,36,16,-22,0,0.0,-10
1,16,100,41,5,-32,0,2.0,-9
1,16,240,26,-17,-47,0,6.0,-4
1,16,230,93,46,26,0,8.0,-4
1,16,220,87,42,22,0,8.0,-5
1,16,210,93,40,10,0,7.0,5
1,16,270,36,57,53,12,8.0,-3
1,16,240,77,101,92,1,8.0,-1
1,16,230,67,81,64,0,8.0,-4
1,16,220,62,36,18,0,1.0,-9
1,16,190,77,94,44,0,7.0,-8
1,16,220,51,89,63,0,8.0,-21
1,16,40,57,46,21,0,7.0,-3
1,16,340,10,-10,-10,0,9.0,3
1,16,260,31,15,15,0,9.0,-5
1,16,990,15,37,2,0,7.0,-2
1,16,260,36,41,31,0,8.0,-1
1,16,330,26,58,44,0,8.0,-1
1,16,270,57,41,11,0,8.0,-9
1,16,340,31,52,2,0,7.0,-4
1,16,240,31,44,35,0,8.0,-4
1,16,250,51,46,46,2,8.0,5
1,16,50,62,4,-13,0,8.0,-4
1,16,60,51,-14,-107,0,1.0,-9
1,16,70,36,-23,-72,0,0.0,-13
1,16,80,21,-12,-39,0,0.0,-8
1,16,20,10,-6,-31,0,2.0,-11
1,16,190,10,1,-7,0,0.0,-28
