MM,HH,DD,FF,T,TD,RH,N,TC
9,20,210,36,219,148,0,0.0,-12
9,20,360,41,232,163,0,1.0,-23
9,20,50,21,217,102,0,0.0,-1
9,20,30,57,222,135,0,0.0,-16
9,20,350,26,188,164,-1,8.0,-10
9,20,340,26,127,76,0,1.0,-11
9,20,340,21,156,118,0,6.0,-11
9,20,290,10,170,106,0,6.0,-11
9,20,40,21,160,107,0,1.0,-16
9,20,130,15,187,113,0,4.0,-8
9,20,40,46,142,82,0,7.0,-18
9,20,40,36,115,49,0,0.0,-3
9,20,80,26,153,52,0,0.0,-16
9,20,200,15,172,81,0,0.0,-19
9,20,220,36,172,172,0,6.0,-2
9,20,210,46,173,170,2,8.0,9
9,20,250,21,147,109,0,3.0,-17
9,20,240,15,176,129,0,7.0,-6
9,20,360,26,152,102,0,7.0,-11
9,20,80,31,128,68,0,1.0,-9
9,20,160,26,161,113,0,1.0,-2
9,20,190,36,112,95,0,2.0,6
9,20,220,93,164,113,0,8.0,-2
9,20,210,62,183,144,0,7.0,-7
9,20,170,41,170,164,-1,8.0,-6
9,20,280,21,134,121,0,7.0,-3
9,20,200,57,101,82,0,5.0,2
9,20,110,51,126,110,-1,8.0,-1
9,20,200,46,135,110,0,4.0,-5
9,20,230,41,88,84,0,2.0,-15
9,20,230,72,115,96,0,1.0,-8
9,20,200,82,133,131,5,8.0,0
9,20,240,77,124,89,0,6.0,-7
9,20,220,46,100,97,0,7.0,-1
9,20,250,26,101,68,0,2.0,-3
9,20,190,31,142,98,0,7.0,-2
9,20,260,26,128,122,0,7.0,0
9,20,200,36,108,105,0,6.0,-5
9,20,170,10,120,88,0,1.0,-8
9,20,120,46,162,114,0,4.0,-5
9,20,200,36,127,119,0,2.0,4
9,20,90,26,122,90,0,6.0,0
9,20,230,41,152,106,0,8.0,-6
9,20,220,46,137,129,0,7.0,-2
9,20,220,72,145,127,0,4.0,-1
9,20,70,31,132,111,0,2.0,-7
9,20,100,41,155,130,0,1.0,-6
9,20,170,10,148,137,0,6.0,-2
9,20,230,41,155,140,0,8.0,-3
9,20,80,21,148,116,0,6.0,-9
9,20,90,31,170,152,0,7.0,0
