MM,HH,DD,FF,T,TD,RH,N,TC
10,21,240,82,109,80,0,1.0,0
10,21,210,21,86,78,0,1.0,-16
10,21,210,46,125,99,0,2.0,-2
10,21,170,21,100,95,0,1.0,6
10,21,210,31,131,120,0,8.0,4
10,21,60,15,97,83,0,3.0,2
10,21,80,26,118,116,0,5.0,-1
10,21,100,21,154,127,0,7.0,-18
10,21,990,5,129,106,0,2.0,-11
10,21,70,31,136,113,0,2.0,0
10,21,120,31,131,101,0,8.0,4
10,21,250,21,116,116,4,8.0,-1
10,21,190,31,115,104,0,6.0,-4
10,21,190,26,128,110,0,7.0,-5
10,21,200,21,124,124,0,7.0,-8
10,21,210,118,136,117,-1,8.0,-1
10,21,230,103,72,29,0,1.0,-3
10,21,210,36,42,30,0,1.0,-5
10,21,260,36,54,50,0,5.0,0
10,21,270,26,60,56,0,6.0,-10
10,21,290,15,61,43,0,7.0,-12
10,21,230,26,75,68,-1,8.0,-5
10,21,310,15,86,83,0,7.0,-1
10,21,240,26,93,92,-1,8.0,-1
10,21,80,31,95,89,0,8.0,-1
10,21,90,31,40,5,0,0.0,-2
10,21,110,36,63,36,0,4.0,3
10,21,90,21,71,56,0,7.0,-3
10,21,180,36,47,12,0,0.0,-2
10,21,170,36,64,47,0,7.0,2
10,21,160,46,77,57,0,7.0,2
10,21,220,26,107,88,0,4.0,-6
10,21,90,26,118,107,0,8.0,0
10,21,50,51,123,114,0,5.0,-5
10,21,50,87,130,79,0,7.0,-8
10,21,40,77,76,70,0,8.0,0
10,21,20,57,106,106,-1,8.0,-1
10,21,30,31,115,115,0,8.0,2
10,21,330,10,111,87,0,8.0,-2
10,21,340,31,80,66,0,4.0,-7
10,21,50,36,53,35,0,0.0,-2
10,21,20,21,97,91,0,8.0,0
10,21,60,51,49,-7,0,1.0,-2
10,21,30,10,35,-3,0,0.0,-14
10,21,220,93,89,47,0,8.0,-1
10,21,230,72,40,15,0,1.0,1
10,21,220,41,47,22,0,4.0,-25
10,21,200,36,29,11,0,6.0,-4
10,21,210,62,76,27,0,8.0,-1
10,21,180,41,56,15,0,3.0,-9
10,21,180,31,75,55,0,3.0,2
10,21,290,15,57,53,0,7.0,-1
10,21,200,51,63,45,0,7.0,-3
10,21,200,51,58,46,0,6.0,9
10,21,210,46,53,40,-1,7.0,-4
10,21,250,72,84,75,26,8.0,-1
10,21,190,31,57,43,0,7.0,1
10,21,200,72,84,76,22,8.0,1
10,21,200,77,54,37,0,6.0,7
10,21,220,31,42,35,0,3.0,2
10,21,30,31,30,30,0,9.0,-6
10,21,190,31,37,37,0,8.0,-6
10,21,180,57,128,114,4,5.0,-2
10,21,130,15,102,102,0,7.0,2
10,21,220,67,116,103,0,4.0,-4
10,21,170,26,110,98,0,5.0,-2
10,21,150,26,148,143,4,8.0,4
10,21,170,62,135,116,1,7.0,-9
10,21,160,26,108,94,0,6.0,5
10,21,230,15,123,123,14,8.0,1
10,21,210,46,95,87,0,5.0,-5
10,21,150,21,111,102,0,7.0,8
10,21,150,36,152,139,0,7.0,5
10,21,200,41,124,108,0,6.0,-2
10,21,190,26,138,108,-1,8.0,-13
10,21,20,46,74,74,16,8.0,-2
10,21,250,26,74,57,-1,7.0,-4
10,21,40,41,49,46,0,6.0,-6
10,21,40,31,32,19,0,0.0,-4
10,21,80,57,42,2,0,0.0,-4
10,21,990,10,35,28,0,4.0,18
10,21,240,31,59,47,0,7.0,-5
10,21,990,15,45,45,0,4.0,-8
10,21,30,72,61,54,0,8.0,2
10,21,30,77,53,50,2,8.0,0
10,21,30,36,28,18,0,6.0,8
10,21,360,36,80,72,0,8.0,-1
10,21,40,36,88,88,-1,8.0,-2
10,21,70,36,81,67,0,7.0,-3
10,21,60,31,50,49,0,0.0,-4
10,21,60,15,38,32,0,0.0,-9
10,21,990,10,22,21,0,0.0,-2
10,21,60,36,29,29,0,9.0,1
